accession,Strain,lineage,passed
GCA_001324805.1_8987_4_1,0011N,LIN-2,TRUE
GCA_001380675.1_7156_6_40,0013Q,LIN-4,TRUE
GCA_001326095.1_8987_4_9,0014R,LIN-4,TRUE
GCA_001379035.1_7156_6_42,0018W,LIN-4,TRUE
GCA_001389615.1_8987_4_17,0019X,LIN-4,TRUE
GCA_001379135.1_7156_6_43,0020Y,LIN-2,TRUE
GCA_001388915.1_8987_4_25,0023B,LIN-4,TRUE
GCA_001379255.1_7156_6_44,0024C,LIN-4,TRUE
GCA_001380695.1_7156_7_95,0026E,LIN-2,TRUE
GCA_001375895.1_6954_1_87,0028G,LIN-4,TRUE
GCA_001375835.1_6954_1_88,0029H,LIN-4,TRUE
GCA_001378395.1_6954_1_89,0030J,LIN-4,TRUE
GCA_001386435.1_7935_3_91,0031K,LIN-2,TRUE
GCA_001376455.1_6954_1_73,0032L,LIN-2,TRUE
GCA_001326065.1_8987_4_33,0036Q,LIN-4,TRUE
GCA_001388455.1_8987_4_41,0040V,LIN-2,TRUE
GCA_001380655.1_7156_7_96,0041W,LIN-2,TRUE
GCA_001380515.1_7314_8_67,0042X,LIN-2,TRUE
GCA_001378215.1_6954_1_90,0043Y,LIN-4,TRUE
GCA_001377895.1_6954_1_91,0044Z,LIN-2,TRUE
GCA_001384815.1_7755_2_2,0048D,LIN-2,TRUE
GCA_001391055.1_8987_4_57,0049E,LIN-2,TRUE
GCA_001322505.1_6954_1_92,0050F,LIN-2,TRUE
GCA_001389255.1_8987_4_65,0051G,LIN-2,TRUE
GCA_001387535.1_8987_4_73,0052H,LIN-2,TRUE
GCA_001322405.1_6954_1_93,0053J,LIN-2,TRUE
GCA_001390755.1_8987_4_81,0054K,LIN-4,TRUE
GCA_001386695.1_8987_4_89,0056M,LIN-2,TRUE
GCA_001322465.1_6954_1_94,0057N,LIN-2,TRUE
GCA_001387395.1_8987_4_2,0060R,LIN-2,TRUE
GCA_001322385.1_6954_1_95,0061S,LIN-2,TRUE
GCA_001384975.1_7755_2_3,0063V,LIN-4,TRUE
GCA_001382675.1_7156_7_79,0066Y,LIN-2,TRUE
GCA_001382775.1_7156_7_80,0068A,LIN-2,TRUE
GCA_001324065.1_7156_7_81,0069B,LIN-2,TRUE
GCA_001384455.1_7156_7_82,0070C,LIN-2,TRUE
GCA_001384335.1_7156_7_83,0071D,LIN-2,TRUE
GCA_001381255.1_7314_8_87,0075H,LIN-2,TRUE
GCA_001325445.1_8987_4_10,0076J,LIN-2,TRUE
GCA_001389455.1_8987_4_18,0080N,LIN-2,TRUE
GCA_001325365.1_8987_4_26,0082Q,LIN-2,TRUE
GCA_001388815.1_8987_4_42,0087W,LIN-2,TRUE
GCA_001376575.1_6954_1_81,0096F,LIN-2,TRUE
GCF_001840705.1_ASM184070v1,01-04726,LIN-4,TRUE
GCA_001850475.1_ASM185047v1,01-R0059,LIN-4,TRUE
GCA_001848345.1_ASM184834v1,01-R0068,LIN-4,TRUE
GCA_001848645.1_ASM184864v1,01-R0149,LIN-4,TRUE
GCA_001849295.1_ASM184929v1,01-R0153,LIN-4,TRUE
GCA_001842515.1_ASM184251v1,01-R0159,LIN-4,TRUE
GCA_001853285.1_ASM185328v1,01-R0165,LIN-4,TRUE
GCA_001850105.1_ASM185010v1,01-R0170,LIN-4,TRUE
GCF_001848515.1_ASM184851v1,01-R0185,LIN-4,TRUE
GCA_002130025.1_ASM213002v1,01-R0186,LIN-4,TRUE
GCA_002130115.1_ASM213011v1,01-R0224,LIN-4,TRUE
GCA_002128905.1_ASM212890v1,01-R0226,LIN-4,TRUE
GCA_002130035.1_ASM213003v1,01-R0228,LIN-4,TRUE
GCA_001845715.1_ASM184571v1,01-R0238,LIN-4,TRUE
GCA_001848975.1_ASM184897v1,01-R0239,LIN-4,TRUE
GCF_001841105.1_ASM184110v1,01-R0240,LIN-4,TRUE
GCA_001855795.1_ASM185579v1,01-R0244,LIN-4,TRUE
GCA_001849205.1_ASM184920v1,01-R0262,LIN-4,TRUE
GCA_001848685.1_ASM184868v1,01-R0265,LIN-4,TRUE
GCA_001848265.1_ASM184826v1,01-R0266,LIN-4,TRUE
GCA_001849085.1_ASM184908v1,01-R0267,LIN-4,TRUE
GCA_002129015.1_ASM212901v1,01-R0270,LIN-4,TRUE
GCF_001848505.1_ASM184850v1,01-R0272,LIN-4,TRUE
GCA_001850665.1_ASM185066v1,01-R0276,LIN-4,TRUE
GCA_001848365.1_ASM184836v1,01-R0290,LIN-4,TRUE
GCA_002129165.1_ASM212916v1,01-R0379,LIN-4,TRUE
GCF_001849165.1_ASM184916v1,01-R0411,LIN-4,TRUE
GCA_001848625.1_ASM184862v1,01-R0420,LIN-4,TRUE
GCA_001848285.1_ASM184828v1,01-R0440,LIN-4,TRUE
GCA_002130195.1_ASM213019v1,01-R0444,LIN-4,TRUE
GCA_002130185.1_ASM213018v1,01-R0446,LIN-4,TRUE
GCA_002129025.1_ASM212902v1,01-R0448,LIN-4,TRUE
GCA_001850745.1_ASM185074v1,01-R0572,LIN-4,TRUE
GCA_001855815.1_ASM185581v1,01-R0612,LIN-2,TRUE
GCA_002130135.1_ASM213013v1,01-R0630,LIN-4,TRUE
GCA_001848435.1_ASM184843v1,01-R0648,LIN-4,TRUE
GCF_001853265.1_ASM185326v1,01-R0685,LIN-4,TRUE
GCA_001848725.1_ASM184872v1,01-R0711,LIN-4,TRUE
GCA_001841325.1_ASM184132v1,01-R0712_1,LIN-4,TRUE
GCF_001816205.1_ASM181620v1,01-R0712,LIN-4,TRUE
GCF_001848545.1_ASM184854v1,01-R0737,LIN-4,TRUE
GCF_002128945.1_ASM212894v1,01-R0746,LIN-4,TRUE
GCA_001851245.1_ASM185124v1,01-R0774,LIN-2,TRUE
GCF_001850525.1_ASM185052v1,01-R0779,LIN-4,TRUE
GCA_002129005.1_ASM212900v1,01-R0817,LIN-4,TRUE
GCF_001841195.1_ASM184119v1,01-R0824,LIN-4,TRUE
GCA_001841015.1_ASM184101v1,01-R0841,LIN-4,TRUE
GCF_001840675.1_ASM184067v1,01-R0877,LIN-4,TRUE
GCA_001849095.1_ASM184909v1,01-R0878,LIN-4,TRUE
GCF_001841115.1_ASM184111v1,01-R0880,LIN-4,TRUE
GCA_001850605.1_ASM185060v1,01-R0884,LIN-4,TRUE
GCA_001850925.1_ASM185092v1,01-R0897,LIN-4,TRUE
GCA_001841265.1_ASM184126v1,01-R0899,LIN-4,TRUE
GCF_001841395.1_ASM184139v1,01-R0902,LIN-4,TRUE
GCA_001842845.1_ASM184284v1,01-R0903,LIN-4,TRUE
GCA_001757445.1_ASM175744v1,01-R0904,LIN-4,TRUE
GCA_001848425.1_ASM184842v1,01-R0905,LIN-4,TRUE
GCA_001853295.1_ASM185329v1,01-R0907,LIN-4,TRUE
GCA_001841075.1_ASM184107v1,01-R0908,LIN-4,TRUE
GCA_001841045.1_ASM184104v1,01-R0909,LIN-4,TRUE
GCF_002130105.1_ASM213010v1,01-R0910,LIN-4,TRUE
GCA_001849705.1_ASM184970v1,01-R0919,LIN-4,TRUE
GCF_001848595.1_ASM184859v1,01-R0953,LIN-4,TRUE
GCF_001848555.1_ASM184855v1,01-R0954,LIN-4,TRUE
GCA_001852735.1_ASM185273v1,01-R0956,LIN-4,TRUE
GCA_001849055.1_ASM184905v1,01-R1017,LIN-4,TRUE
GCA_001850685.1_ASM185068v1,01-R1018,LIN-4,TRUE
GCF_001853245.1_ASM185324v1,01-R1022,LIN-2,TRUE
GCA_001850705.1_ASM185070v1,01-R1046,LIN-4,TRUE
GCF_001841275.1_ASM184127v1,01-R1049,LIN-4,TRUE
GCA_001840775.1_ASM184077v1,01-R1062,LIN-4,TRUE
GCF_002129825.1_ASM212982v1,01-R1108,LIN-4,TRUE
GCA_001840835.1_ASM184083v1,01-R1112,LIN-4,TRUE
GCA_001840845.1_ASM184084v1,01-R1130,LIN-4,TRUE
GCA_001848015.1_ASM184801v1,01-R1134,LIN-4,TRUE
GCF_001840595.1_ASM184059v1,01-R1138,LIN-4,TRUE
GCF_001851325.1_ASM185132v1,01-R1139,LIN-4,TRUE
GCF_001889675.1_ASM188967v1,01-R1141,LIN-4,TRUE
GCA_002130155.1_ASM213015v1,01-R1148,LIN-4,TRUE
GCA_001850045.1_ASM185004v1,01-R1166,LIN-4,TRUE
GCF_001852445.1_ASM185244v1,01-R1196,LIN-4,TRUE
GCA_001850775.1_ASM185077v1,01-R1227,LIN-4,TRUE
GCA_001840825.1_ASM184082v1,01-R1235,LIN-4,TRUE
GCA_001851385.1_ASM185138v1,01-R1238,LIN-4,TRUE
GCA_001850535.1_ASM185053v1,01-R1275,LIN-4,TRUE
GCA_001850625.1_ASM185062v1,01-R1278,LIN-4,TRUE
GCF_001840925.1_ASM184092v1,01-R1302,LIN-4,TRUE
GCF_001840945.1_ASM184094v1,01-R1305,LIN-4,TRUE
GCF_001889665.1_ASM188966v1,01-R1309,LIN-4,TRUE
GCF_001841205.1_ASM184120v1,01-R1321,LIN-2,TRUE
GCA_001841145.1_ASM184114v1,01-R1354,LIN-4,TRUE
GCA_001850565.1_ASM185056v1,01-R1379,LIN-4,TRUE
GCA_001851435.1_ASM185143v1,01-R1386,LIN-4,TRUE
GCA_002129945.1_ASM212994v1,01-R1387,LIN-4,TRUE
GCA_001849325.1_ASM184932v1,01-R1393,LIN-4,TRUE
GCA_001849535.1_ASM184953v1,01-R1394,LIN-4,TRUE
GCF_001851265.1_ASM185126v1,01-R1401,LIN-4,TRUE
GCA_001851395.1_ASM185139v1,01-R1404,LIN-2,TRUE
GCA_001852755.1_ASM185275v1,01-R1428,LIN-4,TRUE
GCA_001850645.1_ASM185064v1,01-R1430,LIN-4,TRUE
GCA_001850695.1_ASM185069v1,01-R1433,LIN-4,TRUE
GCA_002129095.1_ASM212909v1,01-R1441,LIN-4,TRUE
GCF_001851035.1_ASM185103v1,01-R1446,LIN-4,TRUE
GCA_001851885.1_ASM185188v1,01-R1453,LIN-4,TRUE
GCA_001849965.1_ASM184996v1,01-R1455,LIN-4,TRUE
GCA_001850125.1_ASM185012v1,01-R1458,LIN-4,TRUE
GCA_001757405.1_ASM175740v1,01-R1463,LIN-B,TRUE
GCA_001851595.1_ASM185159v1,01-R1504,LIN-2,TRUE
GCA_001850765.1_ASM185076v1,01-R1505,LIN-2,TRUE
GCA_001850935.1_ASM185093v1,01-R1528,LIN-4,TRUE
GCA_001851475.1_ASM185147v1,01-R1533,LIN-4,TRUE
GCA_002129105.1_ASM212910v1,01-R1539,LIN-4,TRUE
GCA_001851515.1_ASM185151v1,01-R1544,LIN-4,TRUE
GCA_001850585.1_ASM185058v1,01-R1554,LIN-4,TRUE
GCF_001841165.1_ASM184116v1,01-R1556,LIN-4,TRUE
GCF_001841175.1_ASM184117v1,01-R1559,LIN-2,TRUE
GCA_001850875.1_ASM185087v1,01-R1568,LIN-4,TRUE
GCA_002130265.1_ASM213026v1,01-R1591,LIN-4,TRUE
GCA_001851545.1_ASM185154v1,01-R1599,LIN-4,TRUE
GCA_001849565.1_ASM184956v1,01-R1613,LIN-4,TRUE
GCF_001851505.1_ASM185150v1,01-R1614,LIN-4,TRUE
GCA_001849345.1_ASM184934v1,01-R1619,LIN-4,TRUE
GCF_001851115.1_ASM185111v1,01-R1620,LIN-4,TRUE
GCA_001851125.1_ASM185112v1,01-R1622,LIN-2,TRUE
GCF_001851105.1_ASM185110v1,01-R1630,LIN-4,TRUE
GCF_001840575.1_ASM184057v1,01-R1632,LIN-4,TRUE
GCA_001851465.1_ASM185146v1,01-R1649,LIN-4,TRUE
GCA_001840645.1_ASM184064v1,01-R1651,LIN-4,TRUE
GCA_001377795.1_6954_1_74,0101L,LIN-4,TRUE
GCA_001382935.1_7755_2_4,0105Q,LIN-4,TRUE
GCA_001323605.1_7755_2_5,0107S,LIN-2,TRUE
GCA_001386415.1_7935_3_92,0109V,LIN-4,TRUE
GCA_001325865.1_8987_4_82,0111X,LIN-2,TRUE
GCA_001377915.1_6954_1_75,0113Z,LIN-4,TRUE
GCA_001382315.1_7755_2_6,0123K,LIN-4,TRUE
G,H37rv,LIN-4,TRUE
GCA_001382335.1_7755_2_7,0124L,LIN-4,TRUE
GCA_001382455.1_7755_2_8,0125M,LIN-2,TRUE
GCA_001382575.1_7755_2_9,0126N,LIN-2,TRUE
GCA_001383695.1_7755_2_10,0128Q,LIN-4,TRUE
GCA_000419295.1_SP,12931,NONE,FALSE
GCA_001324005.1_7755_2_12,0132V,LIN-4,TRUE
GCA_001384155.1_7755_2_13,0133W,LIN-2,TRUE
GCA_001380295.1_7755_2_14,0137A,LIN-4,TRUE
GCA_001380115.1_7755_2_15,0138B,LIN-4,TRUE
GCA_001379675.1_7755_2_16,0139C,LIN-4,TRUE
GCA_001386455.1_7935_3_93,0145J,LIN-2,TRUE
GCA_001379615.1_7755_2_17,0149N,LIN-2,TRUE
GCA_001323025.1_7755_2_18,0153S,LIN-2,TRUE
GCA_001375715.1_6954_8_95,0157X,LIN-2,TRUE
GCA_001376155.1_6954_8_96,0159Z,LIN-4,TRUE
GCA_001321665.1_6954_1_49,0163D,LIN-2,TRUE
GCA_001375755.1_6954_1_50,0166G,LIN-4,TRUE
GCA_001379775.1_7755_2_20,0174Q,LIN-4,TRUE
GCA_001375935.1_6954_1_51,0175R,LIN-2,TRUE
GCA_001375995.1_6954_1_52,0176S,LIN-4,TRUE
GCA_001386475.1_7935_3_94,0179W,LIN-4,TRUE
GCA_001376195.1_6954_1_54,0180X,LIN-2,TRUE
GCA_001322025.1_6954_1_55,0182Z,LIN-2,TRUE
GCA_001324745.1_8987_4_90,0183A,LIN-2,TRUE
GCA_001377075.1_6972_6_1,0187E,LIN-2,TRUE
GCA_001377295.1_6972_6_2,0188F,LIN-2,TRUE
GCA_001377455.1_6972_6_3,0190H,LIN-2,TRUE
GCA_001387315.1_8987_4_3,0195N,LIN-4,TRUE
GCA_001379195.1_7755_2_21,0197Q,LIN-4,TRUE
GCA_000155165.1_ASM15516v1,02_1987_2,LIN-2,TRUE
GCA_000658295.1_Myco_tube_02_1987_V1,02_1987,LIN-2,TRUE
GCA_001847365.1_ASM184736v1,02-12682,LIN-4,TRUE
GCA_001847335.1_ASM184733v1,02-15749,LIN-4,TRUE
GCA_002128795.1_ASM212879v1,02-R0014,LIN-2,TRUE
GCF_001840805.1_ASM184080v1,02-R0016,LIN-4,TRUE
GCF_001840665.1_ASM184066v1,02-R0020,LIN-4,TRUE
GCF_001841065.1_ASM184106v1,02-R0027,LIN-4,TRUE
GCA_001850905.1_ASM185090v1,02-R0028,LIN-4,TRUE
GCA_001851855.1_ASM185185v1,02-R0095,LIN-4,TRUE
GCA_001850855.1_ASM185085v1,02-R0099,LIN-4,TRUE
GCA_001849605.1_ASM184960v1,02-R0109,LIN-2,TRUE
GCA_002130305.1_ASM213030v1,02-R0113,LIN-4,TRUE
GCF_001850975.1_ASM185097v1,02-R0115,LIN-4,TRUE
GCA_001851625.1_ASM185162v1,02-R0119,LIN-4,TRUE
GCA_001849575.1_ASM184957v1,02-R0122,LIN-4,TRUE
GCA_002128825.1_ASM212882v1,02-R0123,LIN-4,TRUE
GCA_001852145.1_ASM185214v1,02-R0138,LIN-4,TRUE
GCA_001850845.1_ASM185084v1,02-R0142,LIN-4,TRUE
GCA_001850825.1_ASM185082v1,02-R0149,LIN-4,TRUE
GCA_001851705.1_ASM185170v1,02-R0188,LIN-4,TRUE
GCA_002129995.1_ASM212999v1,02-R0191,LIN-4,TRUE
GCA_002129985.1_ASM212998v1,02-R0195,LIN-4,TRUE
GCF_001840745.1_ASM184074v1,02-R0196,LIN-4,TRUE
GCA_002129205.1_ASM212920v1,02-R0213,LIN-4,TRUE
GCA_001842785.1_ASM184278v1,02-R0220,LIN-4,TRUE
GCA_002128925.1_ASM212892v1,02-R0236,LIN-4,TRUE
GCA_001852525.1_ASM185252v1,02-R0244,LIN-4,TRUE
GCA_002129815.1_ASM212981v1,02-R0258,LIN-4,TRUE
GCA_001846145.1_ASM184614v1,02-R0269,LIN-2,TRUE
GCA_001851085.1_ASM185108v1,02-R0281,LIN-4,TRUE
GCA_001849615.1_ASM184961v1,02-R0309,LIN-4,TRUE
GCF_001841285.1_ASM184128v1,02-R0325,LIN-4,TRUE
GCA_001851825.1_ASM185182v1,02-R0328,LIN-2,TRUE
GCA_001851795.1_ASM185179v1,02-R0356,LIN-4,TRUE
GCA_002129175.1_ASM212917v1,02-R0358,LIN-4,TRUE
GCA_001851655.1_ASM185165v1,02-R0364,LIN-4,TRUE
GCA_001852205.1_ASM185220v1,02-R0369,LIN-4,TRUE
GCA_001849985.1_ASM184998v1,02-R0375,LIN-4,TRUE
GCA_001851025.1_ASM185102v1,02-R0383,LIN-4,TRUE
GCA_001851845.1_ASM185184v1,02-R0385,LIN-4,TRUE
GCA_002130245.1_ASM213024v1,02-R0397,LIN-4,TRUE
GCA_001840625.1_ASM184062v1,02-R0403,LIN-4,TRUE
GCF_001850135.1_ASM185013v1,02-R0417,LIN-4,TRUE
GCA_002130345.1_ASM213034v1,02-R0432,LIN-4,TRUE
GCA_001849675.1_ASM184967v1,02-R04323,LIN-4,TRUE
GCF_001840985.1_ASM184098v1,02-R0459,LIN-4,TRUE
GCA_001852405.1_ASM185240v1,02-R0477,LIN-4,TRUE
GCA_001846545.1_ASM184654v1,02-R0744,LIN-4,TRUE
GCF_002129865.1_ASM212986v1,02-R0748,LIN-4,TRUE
GCF_002129905.1_ASM212990v1,02-R0749,LIN-4,TRUE
GCA_001846645.1_ASM184664v1,02-R0755,LIN-4,TRUE
GCA_001849495.1_ASM184949v1,02-R0760,LIN-4,TRUE
GCA_001852275.1_ASM185227v1,02-R0766,LIN-4,TRUE
GCA_001849935.1_ASM184993v1,02-R0791,LIN-4,TRUE
GCA_001849755.1_ASM184975v1,02-R0792,LIN-4,TRUE
GCA_001852605.1_ASM185260v1,02-R0804,LIN-4,TRUE
GCA_002135065.1_ASM213506v1,02-R0812,LIN-4,TRUE
GCA_001852455.1_ASM185245v1,02-R0816,LIN-2,TRUE
GCF_001851715.1_ASM185171v1,02-R0819,LIN-4,TRUE
GCA_001849725.1_ASM184972v1,02-R0826,LIN-4,TRUE
GCA_001851635.1_ASM185163v1,02-R0829,LIN-4,TRUE
GCA_001851945.1_ASM185194v1,02-R0846,LIN-4,TRUE
GCA_001849215.1_ASM184921v1,02-R0848,LIN-4,TRUE
GCA_001851295.1_ASM185129v1,02-R0850,LIN-2,TRUE
GCA_001851005.1_ASM185100v1,02-R0855,LIN-4,TRUE
GCA_001851665.1_ASM185166v1,02-R0856,LIN-4,TRUE
GCA_001852025.1_ASM185202v1,02-R0857,LIN-4,TRUE
GCA_001852065.1_ASM185206v1,02-R0861,LIN-4,TRUE
GCF_001850965.1_ASM185096v1,02-R0870,LIN-4,TRUE
GCF_001841245.1_ASM184124v1,02-R0879,LIN-4,TRUE
GCA_001849015.1_ASM184901v1,02-R0880,LIN-4,TRUE
GCA_001848965.1_ASM184896v1,02-R0885,LIN-4,TRUE
GCF_001849845.1_ASM184984v1,02-R0887,LIN-4,TRUE
GCF_001850325.1_ASM185032v1,02-R0894,LIN-4,TRUE
GCA_001840935.1_ASM184093v1,02-R0898,LIN-2,TRUE
GCA_001845705.1_ASM184570v1,02-R0902,LIN-4,TRUE
GCA_002128845.1_ASM212884v1,02-R0924,LIN-4,TRUE
GCA_002130355.1_ASM213035v1,02-R0926,LIN-4,TRUE
GCF_001851785.1_ASM185178v1,02-R0931,LIN-4,TRUE
GCA_001850155.1_ASM185015v1,02-R0947,LIN-4,TRUE
GCA_001848445.1_ASM184844v1,02-R0948,LIN-4,TRUE
GCA_001850245.1_ASM185024v1,02-R0951,LIN-4,TRUE
GCA_001849465.1_ASM184946v1,02-R0961,LIN-4,TRUE
GCA_002130275.1_ASM213027v1,02-R0963,LIN-2,TRUE
GCA_002129145.1_ASM212914v1,02-R0967,LIN-4,TRUE
GCA_001850265.1_ASM185026v1,02-R0969,LIN-4,TRUE
GCA_002130375.1_ASM213037v1,02-R0970,LIN-4,TRUE
GCA_001852305.1_ASM185230v1,02-R0981,LIN-4,TRUE
GCF_001851765.1_ASM185176v1,02-R0986,LIN-4,TRUE
GCF_001852495.1_ASM185249v1,02-R0987,LIN-4,TRUE
GCF_001851205.1_ASM185120v1,02-R0990,LIN-4,TRUE
GCF_001851575.1_ASM185157v1,02-R0991,LIN-4,TRUE
GCA_001850785.1_ASM185078v1,02-R0993,LIN-4,TRUE
GCA_001849825.1_ASM184982v1,02-R1017,LIN-4,TRUE
GCF_001848585.1_ASM184858v1,02-R1024,LIN-4,TRUE
GCA_001851345.1_ASM185134v1,02-R1044,LIN-4,TRUE
GCF_001851875.1_ASM185187v1,02-R1063,LIN-4,TRUE
GCA_001852005.1_ASM185200v1,02-R1092,LIN-4,TRUE
GCA_001849905.1_ASM184990v1,02-R1122,LIN-4,TRUE
GCA_001852685.1_ASM185268v1,02-R1131,LIN-4,TRUE
GCA_001846705.1_ASM184670v1,02-R1144,LIN-4,TRUE
GCA_001850055.1_ASM185005v1,02-R1147,LIN-4,TRUE
GCA_001845795.1_ASM184579v1,02-R1149,LIN-4,TRUE
GCA_001846075.1_ASM184607v1,02-R1150,LIN-2,TRUE
GCA_001845875.1_ASM184587v1,02-R1151,LIN-4,TRUE
GCA_001852335.1_ASM185233v1,02-R1152,LIN-4,TRUE
GCF_001852365.1_ASM185236v1,02-R1154,LIN-4,TRUE
GCA_001849665.1_ASM184966v1,02-R1179,LIN-4,TRUE
GCA_001849645.1_ASM184964v1,02-R1281,LIN-4,TRUE
GCA_001849125.1_ASM184912v1,02-R1287,LIN-4,TRUE
GCA_001842865.1_ASM184286v1,02-R1324,LIN-4,TRUE
GCA_001846625.1_ASM184662v1,02-R1335,LIN-4,TRUE
GCA_002130315.1_ASM213031v1,02-R1444,LIN-4,TRUE
GCA_001889725.1_ASM188972v1,02-R1447,LIN-4,TRUE
GCA_001847155.1_ASM184715v1,02-R1449,LIN-4,TRUE
GCA_001852165.1_ASM185216v1,02-R1454,LIN-4,TRUE
GCA_001849365.1_ASM184936v1,02-R1458,LIN-4,TRUE
GCA_001849005.1_ASM184900v1,02-R1491,LIN-4,TRUE
GCA_001847225.1_ASM184722v1,02-R1493,LIN-4,TRUE
GCF_001848785.1_ASM184878v1,02-R1512,LIN-4,TRUE
GCA_001845665.1_ASM184566v1,02-R1514,LIN-4,TRUE
GCA_001849385.1_ASM184938v1,02-R1527,LIN-4,TRUE
GCA_001850195.1_ASM185019v1,02-R1534,LIN-4,TRUE
GCA_001846315.1_ASM184631v1,02-R1551,LIN-4,TRUE
GCA_001851925.1_ASM185192v1,02-R1589,LIN-4,TRUE
GCA_001852825.1_ASM185282v1,02-R1592,LIN-4,TRUE
GCA_001852045.1_ASM185204v1,02-R1593,LIN-4,TRUE
GCA_001847315.1_ASM184731v1,02-R1595,LIN-4,TRUE
GCA_001849285.1_ASM184928v1,02-R1612,LIN-4,TRUE
GCA_001852175.1_ASM185217v1,02-R1615,LIN-2,TRUE
GCA_001851135.1_ASM185113v1,02-R1625,LIN-4,TRUE
GCA_001852125.1_ASM185212v1,02-R1636,LIN-4,TRUE
GCA_001850185.1_ASM185018v1,02-R1641,LIN-2,TRUE
GCA_001849805.1_ASM184980v1,02-R1645,LIN-4,TRUE
GCA_001846815.1_ASM184681v1,02-R1663,LIN-4,TRUE
GCA_001846555.1_ASM184655v1,02-R1664,LIN-4,TRUE
GCA_001851045.1_ASM185104v1,02-R1665,LIN-4,TRUE
GCF_001852575.1_ASM185257v1,02-R1669,LIN-4,TRUE
GCF_001851185.1_ASM185118v1,02-R1672,LIN-4,TRUE
GCA_001846595.1_ASM184659v1,02-R1675,LIN-4,TRUE
GCA_001852635.1_ASM185263v1,02-R1676,LIN-4,TRUE
GCA_001840905.1_ASM184090v1,02-R1680,LIN-4,TRUE
GCA_001851425.1_ASM185142v1,02-R1683,LIN-4,TRUE
GCA_001851275.1_ASM185127v1,02-R1686,LIN-2,TRUE
GCA_001850005.1_ASM185000v1,02-R1689,LIN-4,TRUE
GCF_001852555.1_ASM185255v1,02-R1698,LIN-4,TRUE
GCA_001849995.1_ASM184999v1,02-R1705,LIN-2,TRUE
GCA_001849865.1_ASM184986v1,02-R1708,LIN-4,TRUE
GCA_001850275.1_ASM185027v1,02-R1721,LIN-2,TRUE
GCA_001849785.1_ASM184978v1,02-R1742,LIN-2,TRUE
GCA_002128865.1_ASM212886v1,02-R1752,LIN-2,TRUE
GCA_002129085.1_ASM212908v1,02-R1811,LIN-4,TRUE
GCA_001850405.1_ASM185040v1,02-R1813,LIN-4,TRUE
GCA_001852245.1_ASM185224v1,02-R1818,LIN-4,TRUE
GCA_001851725.1_ASM185172v1,02-R1825,LIN-2,TRUE
GCA_001846995.1_ASM184699v1,02-R1842,LIN-4,TRUE
GCA_001846975.1_ASM184697v1,02-R1847,LIN-4,TRUE
GCA_001846735.1_ASM184673v1,02-R1850,LIN-4,TRUE
GCA_001846785.1_ASM184678v1,02-R1851,LIN-4,TRUE
GCF_001850375.1_ASM185037v1,02-R1858,LIN-4,TRUE
GCA_001852925.1_ASM185292v1,02-R1862,LIN-4,TRUE
GCF_001852725.1_ASM185272v1,02-R1864,LIN-4,TRUE
