0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.332,1.28,1.028,0.808,1.303,1.141,1.081,0.286,0.64,0.782,0.775,0.866,0.305,0.275,0.377,0.453,0.514,0.387,0.339,0.293,0.361,0.252,0.234,0.231,0.0,0.307,0.213,0.38,0.302,0.248,0.291,0.335,0.456,0.22,0.244,0.359,0.333,0.396,0.629,0.477,0.89,0.318
0.288,1.361,1.176,0.933,1.46,1.291,1.235,0.265,0.773,0.938,0.92,1.022,0.439,0.291,0.509,0.6,0.666,0.541,0.474,0.249,0.494,0.21,0.182,0.373,0.312,0.0,0.235,0.306,0.23,0.203,0.25,0.483,0.575,0.357,0.2,0.501,0.47,0.537,0.575,0.626,1.016,0.27
0.273,1.304,1.064,0.84,1.34,1.177,1.12,0.24,0.682,0.828,0.814,0.911,0.343,0.228,0.417,0.495,0.559,0.427,0.377,0.235,0.399,0.19,0.177,0.265,0.203,0.227,0.0,0.29,0.199,0.195,0.233,0.378,0.49,0.257,0.187,0.397,0.369,0.437,0.566,0.519,0.924,0.278
0.334,1.083,1.184,1.031,1.44,1.291,1.216,0.32,0.881,0.914,0.909,1.015,0.406,0.393,0.633,0.624,0.737,0.56,0.596,0.334,0.599,0.316,0.277,0.353,0.42,0.326,0.314,0.0,0.28,0.272,0.324,0.581,0.677,0.465,0.252,0.594,0.509,0.525,0.309,0.592,1.116,0.417
0.2,1.306,1.055,0.838,1.338,1.17,1.113,0.173,0.674,0.817,0.807,0.899,0.329,0.199,0.403,0.483,0.547,0.421,0.36,0.159,0.398,0.127,0.109,0.264,0.201,0.149,0.121,0.15,0.0,0.123,0.152,0.37,0.483,0.252,0.11,0.391,0.365,0.424,0.497,0.501,0.922,0.22
0.226,1.27,1.054,0.844,1.334,1.165,1.104,0.195,0.687,0.824,0.811,0.908,0.337,0.228,0.426,0.492,0.557,0.434,0.383,0.193,0.409,0.192,0.169,0.322,0.263,0.215,0.203,0.267,0.18,0.0,0.184,0.372,0.496,0.265,0.138,0.406,0.371,0.43,0.477,0.512,0.925,0.239
0.237,1.318,1.099,0.873,1.382,1.215,1.158,0.203,0.707,0.86,0.843,0.94,0.366,0.229,0.441,0.527,0.589,0.464,0.398,0.162,0.428,0.207,0.174,0.347,0.288,0.241,0.235,0.307,0.201,0.156,0.0,0.407,0.512,0.286,0.152,0.417,0.392,0.459,0.476,0.542,0.951,0.241
0.436,1.258,0.985,0.774,1.262,1.099,1.039,0.377,0.612,0.742,0.731,0.82,0.267,0.38,0.339,0.417,0.474,0.348,0.299,0.405,0.333,0.401,0.374,0.372,0.338,0.465,0.403,0.558,0.517,0.339,0.407,0.0,0.32,0.179,0.352,0.322,0.303,0.354,0.737,0.435,0.854,0.391
1.041,1.811,1.804,1.408,2.145,1.896,1.852,0.943,1.256,1.588,1.544,1.714,1.014,1.001,1.016,1.244,1.278,1.162,1.021,1.059,0.963,1.044,0.99,1.097,1.127,1.177,1.251,1.361,1.528,0.939,1.073,0.949,0.0,0.872,0.952,1.045,1.031,1.145,1.406,1.268,1.493,0.901
0.367,1.172,0.885,0.69,1.148,0.999,0.938,0.308,0.536,0.644,0.63,0.708,0.109,0.301,0.19,0.315,0.378,0.249,0.139,0.33,0.252,0.322,0.301,0.28,0.246,0.387,0.303,0.463,0.41,0.276,0.324,0.202,0.337,0.0,0.278,0.19,0.167,0.185,0.653,0.253,0.768,0.327
0.208,1.269,1.064,0.845,1.344,1.181,1.122,0.164,0.682,0.818,0.808,0.897,0.339,0.212,0.432,0.495,0.557,0.434,0.39,0.174,0.406,0.179,0.145,0.314,0.256,0.205,0.192,0.235,0.173,0.129,0.165,0.38,0.501,0.265,0.0,0.399,0.368,0.437,0.481,0.519,0.929,0.241
0.454,1.266,1.005,0.788,1.277,1.121,1.061,0.397,0.631,0.76,0.75,0.841,0.252,0.398,0.328,0.439,0.496,0.368,0.281,0.422,0.351,0.413,0.392,0.391,0.356,0.485,0.418,0.58,0.542,0.365,0.415,0.314,0.438,0.155,0.367,0.0,0.124,0.338,0.751,0.415,0.87,0.406
0.437,1.25,0.997,0.786,1.268,1.112,1.053,0.385,0.627,0.755,0.739,0.831,0.243,0.383,0.321,0.426,0.487,0.358,0.276,0.409,0.344,0.402,0.376,0.375,0.346,0.468,0.407,0.555,0.527,0.348,0.403,0.31,0.432,0.15,0.352,0.145,0.0,0.328,0.726,0.407,0.864,0.396
0.471,1.245,1.027,0.815,1.298,1.139,1.078,0.416,0.662,0.782,0.768,0.86,0.13,0.417,0.193,0.453,0.521,0.392,0.143,0.441,0.375,0.432,0.407,0.408,0.389,0.502,0.45,0.573,0.576,0.38,0.438,0.347,0.46,0.165,0.387,0.336,0.305,0.0,0.735,0.239,0.896,0.425
0.492,1.028,1.249,1.114,1.489,1.361,1.281,0.421,0.955,0.966,0.955,1.065,0.453,0.493,0.729,0.691,0.825,0.632,0.69,0.398,0.685,0.468,0.402,0.457,0.567,0.486,0.481,0.295,0.554,0.371,0.39,0.674,0.747,0.554,0.373,0.678,0.582,0.578,0.0,0.632,1.197,0.509
0.491,1.235,1.048,0.835,1.311,1.157,1.093,0.43,0.684,0.797,0.784,0.876,0.143,0.441,0.164,0.472,0.542,0.409,0.121,0.459,0.398,0.454,0.425,0.424,0.413,0.521,0.473,0.579,0.601,0.397,0.459,0.372,0.476,0.187,0.404,0.359,0.327,0.195,0.73,0.0,0.917,0.447
0.914,1.571,1.045,0.804,1.301,1.155,1.092,0.823,0.964,1.187,1.132,1.276,0.936,0.943,0.944,1.039,1.088,0.972,0.941,1.005,0.826,0.978,0.936,0.998,1.029,1.11,1.13,1.276,1.393,0.888,1.01,0.981,0.983,0.784,0.917,0.958,0.942,1.042,1.356,1.157,0.0,0.775
0.268,1.333,1.03,0.813,1.313,1.152,1.093,0.199,0.653,0.799,0.777,0.868,0.438,0.3,0.505,0.591,0.66,0.535,0.465,0.296,0.479,0.29,0.269,0.415,0.362,0.316,0.317,0.465,0.322,0.239,0.283,0.469,0.583,0.343,0.26,0.49,0.46,0.527,0.652,0.625,0.893,0.0
