1,1.1,1.1.2,1.1.3,1.1.3.2,1.2.2,1.2.2.1,2,2.2,2.2.1,3,3.1.1,4,4.1,4.1.1,4.1.1.3,4.1.2,4.1.2.1,4.2,4.2.2,4.2.2.2,4.3,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.2,4.6,4.6.1,4.6.1.1,4.6.1.2,4.8,4.9,4.9.1,bov
1047,21461.0,3149.0,7653.0,2751.0,24080.0,6439.0,4417.0,4429.0,21635.0,1785.0,30860.0,3248.0,7675.0,14843.0,9573.0,14205.0,7837.0,4401.0,15245.0,25391.0,6017.0,5795.0,6377.0,25607.0,,27974.0,11907.0,,30800.0,12019.0,,2557.0,,3753.0,16235.0,25148.0,,,6967.0,3909.0
22646,21975.0,3179.0,8597.0,2773.0,5703.0,8339.0,4499.0,4775.0,,1971.0,18537.0,3358.0,25028.0,15151.0,10267.0,,8513.0,4767.0,27584.0,10835.0,24731.0,6677.0,6385.0,10719.0,,16489.0,26258.0,,14519.0,13981.0,,23120.0,,4743.0,17841.0,8925.0,,,7053.0,4025.0
1241,22227.0,23246.0,8733.0,23369.0,6231.0,8539.0,24185.0,4917.0,,22928.0,20785.0,3658.0,9609.0,27464.0,10429.0,,8581.0,7251.0,16945.0,25730.0,25469.0,8237.0,24515.0,10789.0,,21777.0,26405.0,,14773.0,27131.0,,2835.0,,4795.0,20307.0,25583.0,,,8149.0,4239.0
1581,,3193.0,10007.0,3771.0,25250.0,8599.0,6141.0,5077.0,,2467.0,,4096.0,10251.0,15759.0,11073.0,,9855.0,7381.0,21811.0,26375.0,10421.0,9295.0,6989.0,12773.0,,21833.0,15179.0,,27299.0,27197.0,,3733.0,,6221.0,22247.0,26501.0,,,8327.0,4259.0
1711,,3617.0,11115.0,23453.0,10029.0,30512.0,6275.0,5393.0,,23012.0,,5104.0,25538.0,27827.0,26573.0,,25868.0,7517.0,,27236.0,12697.0,9417.0,7433.0,27020.0,,,15549.0,,15353.0,15849.0,,3849.0,,6855.0,,12977.0,,,9711.0,4783.0
1911,,3841.0,13053.0,23516.0,25562.0,8975.0,6815.0,5699.0,,2507.0,,5604.0,11065.0,16197.0,13233.0,,13749.0,8027.0,,15807.0,13801.0,9653.0,9285.0,15461.0,,,16383.0,,27824.0,17003.0,,4825.0,,7507.0,,14107.0,,,9773.0,23966.0
1983,,4393.0,13063.0,4365.0,10669.0,9661.0,8039.0,6029.0,,2963.0,,5800.0,11171.0,17973.0,14723.0,,14069.0,8461.0,,16001.0,15613.0,11331.0,9551.0,16355.0,,,17549.0,,17131.0,17255.0,,23858.0,,8863.0,,14629.0,,,9893.0,6043.0
2043,,6251.0,30752.0,5419.0,11561.0,10357.0,8341.0,6653.0,,3063.0,,5880.0,11327.0,19963.0,16083.0,,14495.0,8659.0,,17123.0,18761.0,26390.0,10383.0,17143.0,,,28499.0,,28652.0,17319.0,,5305.0,,10375.0,,16691.0,,,10245.0,6393.0
2117,,6637.0,14313.0,5727.0,11921.0,11031.0,25055.0,6663.0,,3519.0,,6024.0,11347.0,29717.0,27926.0,,14625.0,8755.0,,17515.0,19295.0,12857.0,12189.0,18219.0,,,17835.0,,19995.0,28988.0,,5601.0,,10935.0,,28271.0,,,13861.0,7307.0
2221,,7029.0,14583.0,24227.0,26153.0,12911.0,9355.0,6831.0,,4077.0,,6316.0,11439.0,29957.0,16179.0,,27209.0,9301.0,,29093.0,20577.0,13439.0,12319.0,19851.0,,,29393.0,,20239.0,19939.0,,5613.0,,11505.0,,17393.0,,,14855.0,7523.0
22955,,7733.0,15769.0,6265.0,12079.0,26765.0,9379.0,7875.0,,4479.0,,6370.0,11893.0,,16285.0,,15205.0,9479.0,,21539.0,20733.0,26807.0,12551.0,21941.0,,,22003.0,,29543.0,20663.0,,6719.0,,12153.0,,19537.0,,,15045.0,7825.0
22970,,24887.0,16275.0,6661.0,30712.0,26948.0,9619.0,24917.0,,23894.0,,6452.0,13211.0,,28073.0,,15211.0,9557.0,,22079.0,21065.0,14671.0,14499.0,22141.0,,,22225.0,,20599.0,22089.0,,7195.0,,14183.0,,29309.0,,,15889.0,8741.0
2401,,9921.0,17759.0,24755.0,12677.0,14215.0,9947.0,8317.0,,5083.0,,6642.0,13529.0,,17137.0,,16743.0,10457.0,,,29984.0,27272.0,15575.0,,,,,,21165.0,,,7671.0,,15013.0,,20651.0,,,15909.0,8819.0
2503,,25517.0,28748.0,24767.0,26939.0,14657.0,10077.0,8511.0,,5385.0,,7064.0,14071.0,,17297.0,,17885.0,10459.0,,,21803.0,14921.0,16967.0,,,,,,29960.0,,,7845.0,,27410.0,,21209.0,,,28121.0,9347.0
2603,,10343.0,18553.0,7735.0,15147.0,15553.0,10505.0,8579.0,,24062.0,,7650.0,15173.0,,17861.0,,17925.0,10821.0,,,,15413.0,17639.0,,,,,,,,,8003.0,,15817.0,,21967.0,,,18995.0,9667.0
2817,,10487.0,18733.0,7843.0,15401.0,16775.0,25745.0,9477.0,,5429.0,,8170.0,16333.0,,18657.0,,31040.0,10923.0,,,,15763.0,18621.0,,,,,,,,,25061.0,,16581.0,,,,,20745.0,9917.0
23237,,10777.0,19279.0,24863.0,15457.0,17483.0,10943.0,9657.0,,5695.0,,9432.0,16503.0,,19881.0,,29243.0,11121.0,,,,27863.0,19153.0,,,,,,,,,8727.0,,16877.0,,,,,21739.0,10027.0
3175,,10803.0,20421.0,8235.0,17293.0,18809.0,11605.0,10911.0,,6023.0,,9480.0,30972.0,,20179.0,,19897.0,11337.0,,,,16027.0,19983.0,,,,,,,,,25154.0,,18491.0,,,,,,10445.0
3227,,11333.0,20515.0,8271.0,17329.0,19889.0,11961.0,11061.0,,6063.0,,25315.0,17817.0,,29633.0,,21751.0,25967.0,,,,28130.0,20167.0,,,,,,,,,9753.0,,18845.0,,,,,,10515.0
3289,,12261.0,,8277.0,17331.0,20835.0,26294.0,12701.0,,6065.0,,10030.0,28940.0,,29750.0,,21857.0,11693.0,,,,16811.0,20353.0,,,,,,,,,11313.0,,21307.0,,,,,,11029.0
23339,,12819.0,,8641.0,17609.0,21801.0,12885.0,26651.0,,6067.0,,10860.0,28985.0,,21111.0,,21955.0,26117.0,,,,17117.0,29585.0,,,,,,,,,12309.0,,21319.0,,,,,,11053.0
3487,,12931.0,,8887.0,28544.0,,13531.0,13813.0,,24320.0,,12218.0,31080.0,,21359.0,,,12253.0,,,,17217.0,20585.0,,,,,,,,,12693.0,,,,,,,,11343.0
3501,,13225.0,,9663.0,18403.0,,13829.0,13873.0,,6425.0,,12456.0,19255.0,,21503.0,,,12435.0,,,,17271.0,20639.0,,,,,,,,,12825.0,,,,,,,,11447.0
3607,,26861.0,,9729.0,28910.0,,14283.0,14007.0,,24437.0,,13738.0,29105.0,,,,,12451.0,,,,17509.0,21545.0,,,,,,,,,13645.0,,,,,,,,12563.0
23396,,13883.0,,10329.0,18993.0,,15195.0,26996.0,,6769.0,,14128.0,19487.0,,,,,12571.0,,,,17991.0,30152.0,,,,,,,,,13793.0,,,,,,,,26492.0
23438,,14065.0,,25631.0,20423.0,,15321.0,30816.0,,7091.0,,14232.0,19671.0,,,,,12585.0,,,,18453.0,,,,,,,,,,14171.0,,,,,,,,12809.0
3887,,27332.0,,11351.0,29552.0,,16583.0,27320.0,,24596.0,,14564.0,20631.0,,,,,26516.0,,,,20103.0,,,,,,,,,,14399.0,,,,,,,,13479.0
3899,,15079.0,,12137.0,20829.0,,17965.0,15825.0,,7677.0,,14768.0,21799.0,,,,,12951.0,,,,20199.0,,,,,,,,,,14785.0,,,,,,,,13741.0
30356,,15201.0,,26345.0,21455.0,,18751.0,16063.0,,8333.0,,15066.0,21881.0,,,,,13857.0,,,,20655.0,,,,,,,,,,15337.0,,,,,,,,13999.0
4071,,27506.0,,12737.0,21553.0,,18755.0,16283.0,,8459.0,,15192.0,22115.0,,,,,14295.0,,,,21095.0,,,,,,,,,,15427.0,,,,,,,,14535.0
4411,,15341.0,,13699.0,21877.0,,19019.0,17363.0,,8853.0,,27493.0,,,,,,27614.0,,,,21259.0,,,,,,,,,,15523.0,,,,,,,,27215.0
4489,,16735.0,,13715.0,21911.0,,19869.0,17927.0,,8931.0,,15954.0,,,,,,15627.0,,,,21537.0,,,,,,,,,,27911.0,,,,,,,,27953.0
4505,,17673.0,,13781.0,,,29282.0,28658.0,,9335.0,,28096.0,,,,,,16137.0,,,,21659.0,,,,,,,,,,16279.0,,,,,,,,16871.0
4563,,17675.0,,13903.0,,,20153.0,18225.0,,9763.0,,16712.0,,,,,,16205.0,,,,21845.0,,,,,,,,,,16555.0,,,,,,,,16873.0
4773,,18161.0,,30820.0,,,20759.0,20197.0,,9833.0,,17668.0,,,,,,28268.0,,,,21855.0,,,,,,,,,,16731.0,,,,,,,,28346.0
4921,,28946.0,,16147.0,,,29696.0,20497.0,,10057.0,,18458.0,,,,,,17251.0,,,,22131.0,,,,,,,,,,16831.0,,,,,,,,17323.0
4923,,18981.0,,16421.0,,,20983.0,20527.0,,10233.0,,19022.0,,,,,,30996.0,,,,,,,,,,,,,,28253.0,,,,,,,,17915.0
23912,,19375.0,,28079.0,,,29840.0,20891.0,,10283.0,,29173.0,,,,,,18359.0,,,,,,,,,,,,,,18185.0,,,,,,,,18017.0
5203,,19529.0,,28463.0,,,29876.0,21199.0,,10385.0,,19976.0,,,,,,19261.0,,,,,,,,,,,,,,18193.0,,,,,,,,18547.0
5357,,19907.0,,17531.0,,,21487.0,21907.0,,10575.0,,20406.0,,,,,,19269.0,,,,,,,,,,,,,,18775.0,,,,,,,,19317.0
5395,,20177.0,,17625.0,,,,,,10949.0,,20464.0,,,,,,20295.0,,,,,,,,,,,,,,19305.0,,,,,,,,29162.0
5427,,20827.0,,28709.0,,,,,,11511.0,,21038.0,,,,,,20767.0,,,,,,,,,,,,,,29606.0,,,,,,,,19945.0
5479,,21439.0,,18259.0,,,,,,11555.0,,21260.0,,,,,,21031.0,,,,,,,,,,,,,,20653.0,,,,,,,,20049.0
5511,,21543.0,,18267.0,,,,,,11565.0,,21638.0,,,,,,29786.0,,,,,,,,,,,,,,20727.0,,,,,,,,20089.0
5545,,,,28736.0,,,,,,11805.0,,22250.0,,,,,,21423.0,,,,,,,,,,,,,,21003.0,,,,,,,,20701.0
5575,,,,18355.0,,,,,,11895.0,,,,,,,,29924.0,,,,,,,,,,,,,,21245.0,,,,,,,,20735.0
5635,,,,28859.0,,,,,,11947.0,,,,,,,,21623.0,,,,,,,,,,,,,,21337.0,,,,,,,,29666.0
5701,,,,18797.0,,,,,,12043.0,,,,,,,,21627.0,,,,,,,,,,,,,,22147.0,,,,,,,,20861.0
5751,,,,19349.0,,,,,,12465.0,,,,,,,,22011.0,,,,,,,,,,,,,,,,,,,,,,21115.0
24176,,,,19605.0,,,,,,26426.0,,,,,,,,30155.0,,,,,,,,,,,,,,,,,,,,,,21463.0
24215,,,,19951.0,,,,,,12555.0,,,,,,,,22135.0,,,,,,,,,,,,,,,,,,,,,,31224.0
6005,,,,20009.0,,,,,,26531.0,,,,,,,,30173.0,,,,,,,,,,,,,,,,,,,,,,21953.0
6077,,,,20045.0,,,,,,13103.0,,,,,,,,22241.0,,,,,,,,,,,,,,,,,,,,,,
6085,,,,20351.0,,,,,,13477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6357,,,,20409.0,,,,,,13485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6403,,,,20555.0,,,,,,13593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6803,,,,21835.0,,,,,,26822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,,,,,,,,,,26885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6821,,,,,,,,,,14031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,,,,,,,,,,30772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7073,,,,,,,,,,14607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24572,,,,,,,,,,14645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101,,,,,,,,,,14713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24584,,,,,,,,,,14827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7115,,,,,,,,,,27326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7131,,,,,,,,,,27338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24629,,,,,,,,,,15191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7275,,,,,,,,,,15285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7753,,,,,,,,,,15501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7847,,,,,,,,,,15515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8051,,,,,,,,,,15531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8059,,,,,,,,,,15901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8085,,,,,,,,,,16091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,,,,,,,,,,27908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8145,,,,,,,,,,16211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8163,,,,,,,,,,16245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24980,,,,,,,,,,16423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8363,,,,,,,,,,30932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8549,,,,,,,,,,16627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,,,,,,,,,,16953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8773,,,,,,,,,,16985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8839,,,,,,,,,,17299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9213,,,,,,,,,,17589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9329,,,,,,,,,,28730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9341,,,,,,,,,,18439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9431,,,,,,,,,,19275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9513,,,,,,,,,,19931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9615,,,,,,,,,,20207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9673,,,,,,,,,,20415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9741,,,,,,,,,,20937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,,,,,,,,,,21097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811,,,,,,,,,,21185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9891,,,,,,,,,,21507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9961,,,,,,,,,,29945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061,,,,,,,,,,21591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065,,,,,,,,,,22169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
