,0
291,low
292,low
293,high
294,high
295,high
296,low
297,high
298,high
299,low
300,high
301,low
302,high
303,high
304,high
305,medium
306,medium
307,medium
308,medium
309,medium
310,medium
311,low
312,low
313,low
314,low
315,high
316,low
317,low
318,high
319,low
320,high
321,high
322,low
323,low
324,low
325,low
326,low
327,high
328,high
329,low
330,high
331,high
332,high
333,low
334,low
335,high
336,low
337,low
338,high
339,low
340,low
341,low
342,high
343,low
344,high
345,low
346,medium
347,low
348,medium
349,medium
350,low
351,medium
352,medium
353,medium
354,medium
355,medium
356,high
357,low
358,low
359,high
360,high
361,low
362,low
363,low
364,low
365,low
366,low
367,high
368,medium
369,high
370,low
371,low
372,low
373,low
374,low
375,low
376,low
377,low
378,high
379,low
380,low
381,low
382,low
383,low
384,high
385,low
386,low
387,low
388,low
389,low
390,high
391,low
392,high
393,high
394,medium
395,high
396,high
397,low
398,low
399,low
400,low
401,high
402,low
403,medium
404,low
405,high
406,medium
407,medium
408,high
409,medium
410,high
411,medium
412,low
413,high
414,medium
415,medium
416,high
417,high
418,low
419,high
420,low
421,high
422,high
423,high
424,high
425,low
426,high
427,high
428,medium
429,high
430,high
431,low
432,low
433,high
434,low
435,low
436,high
437,low
438,high
439,low
440,high
441,low
442,medium
443,low
444,high
445,low
446,low
447,low
448,low
449,medium
450,medium
451,medium
452,low
453,low
454,medium
455,medium
456,low
457,medium
458,medium
459,medium
460,medium
461,high
462,medium
463,medium
464,medium
465,medium
466,medium
467,low
468,medium
469,high
470,medium
471,low
472,low
473,low
474,medium
475,low
476,low
477,high
478,low
479,medium
480,medium
481,low
482,medium
483,medium
484,medium
485,medium
486,medium
487,low
488,low
489,low
490,medium
491,medium
492,medium
493,high
494,high
495,medium
496,high
497,high
498,medium
499,medium
500,medium
501,medium
502,high
503,medium
504,high
505,medium
506,medium
507,medium
508,high
509,medium
510,high
511,medium
512,medium
513,medium
514,high
515,high
516,high
517,high
518,high
519,medium
520,high
521,high
522,high
523,high
524,medium
525,high
526,low
527,high
528,high
529,high
530,high
531,high
532,high
533,medium
534,medium
535,high
536,high
537,high
538,high
539,high
540,medium
541,medium
542,high
543,medium
544,high
545,medium
546,high
547,high
548,high
549,high
550,medium
551,medium
552,medium
553,high
554,medium
555,medium
556,medium
557,high
558,medium
559,medium
560,low
561,high
562,low
563,medium
564,medium
565,low
566,medium
567,medium
568,medium
569,medium
570,low
571,medium
572,low
573,low
574,medium
575,low
576,medium
577,low
578,medium
579,low
580,low
581,medium
582,low
583,medium
584,medium
585,medium
586,medium
587,medium
588,medium
589,medium
590,medium
591,medium
592,medium
593,medium
594,medium
595,medium
596,low
597,low
598,low
599,medium
600,medium
601,low
602,medium
603,low
604,medium
605,low
606,medium
607,low
608,medium
609,low
610,medium
611,medium
612,low
613,medium
614,medium
615,medium
616,medium
617,medium
618,medium
619,medium
620,medium
621,medium
622,medium
623,medium
624,medium
625,medium
626,medium
627,medium
628,low
629,medium
630,medium
631,medium
632,medium
633,medium
634,medium
635,medium
636,medium
637,medium
638,medium
639,medium
640,medium
641,medium
642,medium
643,medium
644,medium
645,medium
646,medium
647,medium
648,medium
649,medium
650,medium
651,medium
652,medium
653,medium
654,medium
655,medium
656,medium
657,medium
658,medium
659,medium
660,medium
661,medium
662,high
663,medium
664,medium
665,medium
666,low
667,medium
668,medium
669,low
670,medium
671,high
672,high
673,medium
674,medium
675,medium
676,medium
677,medium
678,low
679,medium
680,medium
681,medium
682,low
683,medium
684,medium
685,medium
686,low
687,medium
688,medium
689,high
690,medium
691,medium
692,medium
693,medium
694,medium
695,medium
696,medium
697,medium
698,medium
699,medium
700,medium
701,medium
702,medium
703,medium
704,medium
705,medium
706,high
707,medium
708,high
709,medium
710,medium
711,medium
712,medium
713,medium
714,medium
715,medium
716,medium
717,medium
718,medium
719,medium
720,low
721,low
722,low
723,medium
724,high
725,high
726,low
727,low
728,high
729,low
730,medium
731,low
732,low
733,medium
734,medium
735,low
736,low
737,medium
738,low
739,medium
740,medium
741,low
742,high
743,high
744,low
745,high
746,high
747,medium
748,low
749,low
750,high
751,low
752,low
753,low
754,low
755,medium
756,high
757,low
758,low
759,medium
760,medium
761,low
762,low
763,medium
764,low
765,low
766,low
767,low
768,low
769,low
770,low
771,low
772,low
773,low
774,low
775,low
776,low
777,low
778,medium
779,medium
780,medium
781,medium
782,medium
783,medium
784,medium
785,medium
786,medium
787,medium
788,low
789,low
790,low
791,low
792,low
793,low
794,high
795,high
796,medium
797,medium
798,low
799,low
800,high
801,high
802,low
803,low
804,low
805,high
806,low
807,low
808,low
809,low
810,medium
811,medium
812,medium
813,medium
814,medium
815,low
816,medium
817,medium
818,medium
819,medium
820,medium
821,low
822,low
823,medium
824,low
825,low
826,low
827,low
828,medium
829,low
830,low
831,low
832,low
833,low
834,low
835,low
836,low
837,low
838,low
839,low
840,low
841,low
842,low
843,low
844,low
845,low
846,low
847,low
848,low
849,low
850,low
851,high
852,low
853,high
854,low
855,low
856,low
857,high
858,high
859,low
860,medium
861,medium
862,medium
863,medium
864,medium
865,low
866,high
867,medium
868,high
869,high
870,medium
871,medium
872,medium
873,medium
874,medium
875,high
876,low
877,medium
878,high
879,medium
880,medium
881,medium
882,medium
883,low
884,high
885,high
886,medium
887,medium
888,medium
889,medium
890,medium
891,medium
892,medium
893,medium
894,high
895,medium
896,medium
897,medium
898,medium
899,medium
900,medium
901,medium
902,medium
903,medium
904,medium
905,high
906,medium
907,medium
908,high
909,high
910,medium
911,medium
912,medium
913,medium
914,medium
915,low
916,high
917,high
918,medium
919,medium
920,medium
921,medium
922,high
923,low
924,low
925,low
926,medium
927,low
928,medium
929,low
930,high
931,high
932,medium
933,medium
934,low
935,low
936,low
937,medium
938,medium
939,medium
940,medium
941,medium
942,medium
943,medium
944,medium
945,medium
946,medium
947,medium
948,medium
949,high
950,high
951,medium
952,medium
953,medium
954,medium
955,high
956,medium
957,medium
958,medium
959,medium
960,medium
961,medium
962,medium
963,medium
964,high
965,medium
966,medium
967,medium
968,medium
969,high
970,medium
971,medium
972,high
973,medium
974,medium
975,medium
976,medium
977,medium
978,high
979,high
980,medium
981,medium
982,high
983,high
984,high
985,high
986,medium
987,high
988,medium
989,medium
990,high
991,medium
992,high
993,high
994,high
995,high
996,high
997,medium
998,medium
999,medium
1000,medium
1001,medium
1002,medium
1003,medium
1004,medium
1005,high
1006,high
1007,high
1008,high
1009,medium
1010,medium
1011,medium
1012,medium
1013,medium
1014,medium
1015,high
1016,medium
1017,medium
1018,medium
1019,medium
1020,medium
1021,medium
1022,high
1023,medium
1024,medium
1025,medium
1026,medium
1027,medium
1028,low
1029,medium
1030,medium
1031,medium
1032,medium
1033,low
1034,high
1035,medium
1036,high
1037,medium
1038,high
1039,high
1040,medium
1041,low
1042,medium
1043,medium
1044,medium
1045,medium
1046,medium
1047,medium
1048,high
1049,medium
1050,medium
1051,medium
1052,medium
1053,high
1054,high
1055,high
1056,low
1057,high
1058,medium
1059,medium
1060,high
1061,high
1062,medium
1063,medium
1064,low
1065,medium
1066,medium
1067,medium
1068,low
1069,medium
1070,medium
1071,medium
1072,medium
1073,high
1074,medium
1075,medium
1076,high
1077,high
1078,medium
1079,medium
1080,medium
1081,medium
1082,medium
1083,high
1084,medium
1085,medium
1086,low
1087,low
1088,medium
1089,medium
1090,medium
1091,medium
1092,medium
1093,medium
1094,medium
1095,medium
1096,medium
1097,low
1098,medium
1099,high
1100,medium
1101,medium
1102,high
1103,medium
1104,medium
1105,medium
1106,medium
1107,high
1108,medium
1109,medium
1110,medium
1111,high
1112,medium
1113,high
1114,medium
1115,medium
1116,medium
1117,high
1118,medium
1119,medium
1120,high
1121,low
1122,high
1123,medium
1124,medium
1125,medium
1126,high
1127,medium
1128,medium
1129,medium
1130,medium
1131,medium
1132,medium
1133,high
1134,medium
1135,high
1136,high
1137,high
1138,high
1139,medium
1140,high
1141,medium
1142,medium
1143,medium
1144,high
1145,medium
1146,low
1147,high
1148,medium
1149,medium
1150,medium
1151,high
1152,medium
1153,medium
1154,medium
1155,medium
1156,high
1157,medium
1158,medium
1159,medium
1160,high
1161,high
1162,medium
1163,medium
1164,medium
1165,medium
1166,medium
1167,medium
1168,high
1169,medium
1170,medium
1171,medium
1172,medium
1173,medium
1174,medium
1175,medium
1176,medium
1177,high
1178,high
1179,medium
1180,medium
1181,high
1182,medium
1183,medium
1184,medium
1185,medium
1186,medium
1187,medium
1188,medium
1189,medium
1190,medium
1191,medium
1192,medium
1193,high
1194,medium
1195,medium
1196,medium
1197,medium
1198,medium
1199,medium
1200,medium
1201,high
1202,medium
1203,high
1204,medium
1205,high
1206,medium
1207,medium
1208,medium
1209,medium
1210,medium
1211,medium
1212,medium
1213,high
1214,medium
1215,medium
1216,high
1217,medium
1218,medium
1219,medium
1220,high
1221,medium
1222,high
1223,medium
1224,high
1225,high
1226,medium
1227,medium
1228,medium
1229,medium
1230,high
1231,medium
1232,medium
1233,medium
1234,high
1235,medium
1236,medium
1237,medium
1238,medium
1239,high
1240,medium
1241,medium
1242,medium
1243,medium
1244,high
1245,medium
1246,medium
1247,medium
1248,medium
1249,high
1250,high
1251,medium
1252,medium
1253,medium
1254,medium
1255,medium
1256,medium
1257,high
1258,medium
1259,medium
1260,medium
1261,high
1262,medium
1263,medium
1264,high
1265,medium
1266,medium
1267,medium
1268,medium
1269,medium
1270,medium
1271,medium
1272,high
1273,medium
1274,medium
1275,medium
1276,medium
1277,medium
1278,high
1279,medium
1280,medium
1281,medium
1282,medium
1283,high
1284,high
1285,medium
1286,medium
1287,high
1288,medium
1289,medium
1290,high
1291,medium
1292,high
1293,medium
1294,high
1295,medium
1296,high
1297,medium
1298,medium
1299,medium
1300,high
1301,medium
1302,high
1303,medium
1304,high
1305,high
1306,high
1307,medium
1308,high
1309,high
1310,high
1311,high
1312,high
1313,high
1314,high
1315,high
1316,high
1317,high
1318,high
1319,medium
1320,high
1321,high
1322,high
1323,high
1324,high
1325,high
1326,high
1327,high
1328,high
1329,high
1330,high
1331,medium
1332,medium
1333,medium
1334,high
1335,high
1336,high
1337,high
1338,high
1339,low
1340,high
1341,high
1342,medium
1343,medium
1344,high
1345,medium
1346,high
1347,medium
1348,high
1349,medium
1350,high
1351,high
1352,medium
1353,high
1354,medium
1355,high
1356,medium
1357,high
1358,high
1359,high
1360,medium
1361,high
1362,high
1363,medium
1364,high
1365,medium
1366,medium
1367,medium
1368,high
1369,medium
1370,medium
1371,medium
1372,medium
1373,high
1374,medium
1375,high
1376,high
1377,medium
1378,high
1379,medium
1380,medium
1381,medium
1382,medium
1383,medium
1384,high
1385,medium
1386,high
1387,high
1388,medium
1389,medium
1390,high
1391,medium
1392,medium
1393,high
1394,high
1395,high
1396,high
1397,medium
1398,high
1399,medium
1400,medium
1401,medium
1402,medium
1403,high
1404,high
1405,high
1406,high
1407,medium
1408,medium
1409,medium
1410,medium
1411,high
1412,high
1413,high
1414,high
1415,medium
1416,medium
1417,medium
1418,medium
1419,medium
1420,high
1421,high
1422,high
1423,high
1424,high
1425,high
1426,high
1427,high
1428,high
1429,medium
1430,high
1431,medium
1432,high
1433,high
1434,medium
1435,high
1436,high
1437,medium
1438,high
1439,medium
1440,medium
1441,high
1442,high
1443,high
1444,high
1445,high
1446,medium
1447,high
1448,medium
1449,medium
1450,medium
1451,medium
1452,medium
1453,low
1454,medium
1455,medium
1456,medium
1457,high
1458,medium
1459,medium
1460,high
1461,medium
1462,medium
1463,medium
1464,medium
1465,medium
1466,medium
1467,medium
1468,medium
1469,high
1470,low
1471,medium
1472,medium
1473,medium
1474,high
1475,medium
1476,high
1477,medium
1478,medium
1479,high
1480,high
1481,medium
1482,medium
1483,medium
1484,medium
1485,medium
1486,medium
1487,medium
1488,medium
1489,medium
1490,high
1491,medium
1492,medium
1493,low
1494,medium
1495,high
1496,medium
1497,low
1498,high
1499,medium
1500,medium
1501,medium
1502,high
1503,medium
1504,medium
1505,medium
1506,medium
1507,medium
1508,medium
1509,medium
1510,high
1511,high
1512,high
1513,medium
1514,medium
1515,high
1516,high
1517,medium
1518,medium
1519,high
1520,medium
1521,medium
1522,medium
1523,high
1524,low
1525,medium
1526,high
1527,medium
1528,medium
1529,medium
1530,medium
1531,high
1532,high
1533,high
1534,medium
1535,medium
1536,medium
1537,medium
1538,medium
1539,medium
1540,medium
1541,medium
1542,medium
1543,medium
1544,medium
1545,medium
1546,medium
1547,low
1548,medium
1549,medium
1550,low
1551,low
1552,high
1553,medium
1554,medium
1555,medium
1556,medium
1557,medium
1558,low
1559,low
1560,medium
1561,medium
1562,high
1563,high
1564,high
1565,high
1566,high
1567,high
1568,high
1569,medium
1570,high
1571,medium
1572,high
1573,high
1574,high
1575,high
1576,high
1577,high
1578,high
1579,low
1580,high
1581,high
1582,low
1583,high
1584,high
1585,high
1586,high
1587,high
1588,high
1589,high
1590,high
1591,high
1592,medium
1593,high
1594,medium
1595,high
1596,high
1597,high
1598,high
1599,high
1600,high
1601,medium
1602,high
1603,medium
1604,medium
1605,medium
1606,high
1607,high
1608,high
1609,high
1610,high
1611,medium
1612,medium
1613,medium
1614,high
1615,high
1616,medium
1617,medium
1618,medium
1619,high
1620,high
1621,medium
1622,medium
1623,medium
1624,medium
1625,medium
1626,medium
1627,medium
1628,medium
1629,medium
1630,medium
1631,medium
1632,medium
1633,medium
1634,medium
1635,medium
1636,medium
1637,medium
1638,medium
1639,medium
1640,high
1641,high
1642,medium
1643,medium
1644,high
1645,medium
1646,medium
1647,high
1648,high
1649,medium
1650,medium
1651,medium
1652,medium
1653,medium
1654,medium
1655,medium
1656,medium
1657,medium
1658,medium
1659,medium
1660,medium
1661,medium
1662,medium
1663,medium
1664,medium
1665,medium
1666,medium
1667,medium
1668,medium
1669,medium
1670,medium
1671,medium
1672,medium
1673,high
1674,medium
1675,high
1676,medium
1677,medium
1678,medium
1679,high
1680,high
1681,medium
1682,high
1683,medium
1684,medium
1685,medium
1686,high
1687,high
1688,medium
1689,medium
1690,medium
1691,medium
1692,medium
1693,medium
1694,medium
1695,medium
1696,medium
1697,medium
1698,medium
1699,medium
1700,medium
1701,high
1702,medium
1703,medium
1704,medium
1705,medium
1706,high
1707,medium
1708,medium
1709,medium
1710,medium
1711,medium
1712,medium
1713,high
1714,medium
1715,medium
1716,medium
1717,medium
1718,medium
1719,medium
1720,medium
1721,high
1722,medium
1723,medium
1724,medium
1725,medium
1726,medium
1727,high
1728,low
1729,medium
1730,high
1731,medium
1732,medium
1733,medium
1734,medium
1735,medium
1736,medium
1737,low
1738,medium
1739,medium
1740,medium
1741,medium
1742,medium
1743,medium
1744,medium
1745,medium
1746,medium
1747,medium
1748,medium
1749,medium
1750,medium
1751,medium
1752,medium
1753,medium
1754,medium
1755,medium
1756,medium
1757,medium
1758,medium
1759,medium
1760,medium
1761,medium
1762,medium
1763,medium
1764,low
1765,medium
1766,high
1767,medium
1768,medium
1769,medium
1770,medium
1771,medium
1772,medium
1773,high
1774,high
1775,medium
1776,medium
1777,low
1778,medium
1779,medium
1780,medium
1781,low
1782,medium
1783,medium
1784,medium
1785,medium
1786,medium
1787,medium
1788,medium
1789,medium
1790,medium
1791,medium
1792,medium
1793,low
1794,medium
1795,high
1796,medium
1797,low
1798,medium
1799,medium
1800,medium
1801,medium
1802,medium
1803,medium
1804,high
1805,medium
1806,high
1807,medium
1808,high
1809,high
1810,high
1811,high
1812,high
1813,high
1814,medium
1815,high
1816,high
1817,high
1818,high
1819,high
1820,medium
1821,high
1822,high
1823,high
1824,high
1825,medium
1826,medium
1827,high
1828,high
1829,high
1830,high
1831,medium
1832,high
1833,high
1834,medium
1835,high
1836,low
1837,high
1838,high
1839,high
1840,high
1841,high
1842,medium
1843,medium
1844,high
1845,high
1846,medium
1847,high
1848,medium
1849,medium
1850,medium
1851,high
1852,medium
1853,low
1854,medium
1855,medium
1856,high
1857,medium
1858,high
1859,low
1860,medium
1861,high
1862,high
1863,medium
1864,medium
1865,low
1866,medium
1867,low
1868,medium
1869,high
1870,high
1871,high
1872,medium
1873,medium
1874,medium
1875,high
1876,medium
1877,low
1878,low
1879,low
1880,low
1881,high
1882,low
1883,medium
1884,low
1885,medium
1886,low
1887,high
1888,low
1889,high
1890,high
1891,medium
1892,low
1893,medium
1894,low
1895,low
1896,high
1897,low
1898,high
1899,low
1900,low
1901,high
1902,medium
1903,medium
1904,medium
1905,medium
1906,low
1907,medium
1908,high
1909,low
1910,low
1911,medium
1912,medium
1913,medium
1914,medium
1915,medium
1916,low
1917,medium
1918,low
1919,low
1920,high
1921,low
1922,low
1923,low
1924,low
1925,low
1926,low
1927,low
1928,low
1929,low
1930,low
1931,high
1932,low
1933,low
1934,low
1935,medium
1936,high
1937,low
1938,low
1939,low
1940,low
1941,low
1942,medium
1943,high
1944,high
1945,medium
1946,medium
1947,high
1948,low
1949,medium
1950,medium
1951,low
1952,medium
1953,low
1954,medium
1955,high
1956,low
1957,medium
1958,low
1959,low
1960,low
1961,low
1962,low
