<<<<<<< HEAD
hetero,bayesian
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-mix,Non-mix
Mix,Mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Mix,Mix
Non-Mix,Non-mix
Non-Mix,Non-mix
Non-mix,Non-mix
Non-Mix,Non-mix
