art_186,2926STDY5723733,0.256,A70260,0.253,I0003584-5,0.252,type-strain:-0131,0.239
art_187,Bir-74,0.247,Bir-188,0.251,M0020454-6,0.254,Bir-306,0.248
art_188,MAL010087,0.264,I0001662-1,0.257,OFXR-11,0.249,TRS5,0.23
art_189,MAL010137,0.251,BTB11-047,0.251,KT-0070,0.24,M0024434-4,0.258
art_18,HN-506,0.248,01-R0824,0.248,NRITLD17,0.246,01-R0712,0.259
art_190,2926STDY5723873,0.242,0B123ND,0.245,Bir-475,0.26,07-05749,0.253
art_191,2249W,0.243,2487E,0.271,AH_14271,0.244,LE76,0.241
art_192,M1929,0.246,I0002935-0,0.256,OFXR-30,0.25,MAL010086,0.248
art_193,0A115DS,0.247,Bir-56,0.249,Bir-477,0.244,KT-0064,0.26
art_194,Moreau_1,0.253,Aethiop_vetus_234,0.254,NRITLD59,0.242,02-R0981,0.251
art_195,UT0124,0.255,I0002150-6,0.246,KT-0092,0.25,Bir-135,0.249
art_196,1457K,0.253,BTB08-309,0.252,MAL020179,0.243,Bir-263,0.252
art_197,M2131,0.256,Bir-92,0.247,KT-0201,0.246,Bir-414,0.251
art_198,0392C,0.234,H3986,0.253,TKK_04_0017,0.265,0049E,0.248
art_199,ATCCBAA-688,0.245,BTB11-160,0.251,AU_8623,0.255,Bir-322,0.249
art_19,0912S,0.255,Aethiop_vetus_232,0.248,Bir-251,0.248,Bir-475,0.249
art_1,Bir192,0.222,01-R0228,0.221,2074CJ,0.228,UT0014,0.222,H37rv,0.107
art_200,M0016693-5,0.251,C0003187-3,0.254,J09900221,0.25,H111920015,0.245
art_20,M2141,0.251,type-strain:-0545,0.252,Bir-133,0.247,0647E,0.249
art_21,AUH13,0.158,Bir-32,0.16,2196MM,0.154,H37rv,0.378,02-R1933,0.149
art_22,2360R,0.169,200253,0.165,0469L,0.167,H37rv,0.336,MAL010136,0.164
art_23,01-R0648,0.255,GG-134-11,0.248,M1906,0.245,SUMu009,0.252
art_24,Bir-102,0.25,1500108,0.256,2257E,0.245,2926STDY5723497,0.249
art_25,LN3668,0.259,KT-0016,0.249,I0004478-9,0.25,2636R,0.243
art_26,0486E,0.24,BTB08-001,0.254,MAL010136,0.265,2514J,0.241
art_27,I0001662-1,0.257,1067L,0.259,001_13432,0.245,H107,0.239
art_28,2353J,0.265,M1400,0.245,TB_RSA161,0.247,00-15489,0.242
art_29,UT0090,0.248,T09800777,0.252,2302D,0.254,Bir179,0.246
art_2,H3367,0.252,TRS14,0.244,Mtb43,0.251,SLM056,0.253
art_30,M2007,0.251,0018W,0.255,Bir-228,0.247,M1397,0.246
art_31,621,0.223,1607Y,0.23,Bir185,0.231,2337R,0.212,H37rv,0.104
art_32,H114540002,0.252,E09701106,0.256,1343L,0.25,0666A,0.243
art_33,0822-11,0.256,H1329,0.251,A4,0.245,UT0052,0.248
art_34,LN3584,0.248,type-strain:-0430,0.251,2345A,0.248,2591S,0.252
art_35,M2384,0.196,1821ADB38,0.206,Bir-299,0.2,BTB11-192,0.193,H37rv,0.205
art_36,1551M,0.253,2351G,0.253,200253,0.245,TKK_03_0101,0.249
art_37,M1961,0.225,0469L,0.231,ATCC35740,0.227,A09901284,0.219,H37rv,0.098
art_38,MAL010084,0.253,XTB13-128,0.247,D-4155,0.247,0429S,0.254
art_39,M1978,0.25,Bir-142,0.256,M1295,0.244,2926STDY5723623,0.25
art_3,Bir-78,0.248,T46_2,0.249,Bir-22,0.247,2926STDY5723423,0.256
art_40,M2116,0.247,Bir-135,0.251,2926STDY5723623,0.256,M2130,0.245
art_41,M1340,0.25,Bir172,0.252,XTB13-161,0.251,Bir-239,0.247
art_42,47,0.245,I0005710-4,0.258,XDR1219,0.256,Bir-94,0.242
art_43,A70144_1,0.252,2337R,0.249,M2134,0.247,M2350,0.252
art_44,M1221,0.249,I00300818,0.252,KT-0003,0.255,XTB13-121,0.244
art_45,1067L,0.249,Bir-30,0.253,02-R0991,0.253,1507P,0.245
art_46,MbURU-002,0.508,Bir-324,0.246,MAL010078,0.245
art_47,0650H,0.253,2276A,0.242,TKK_03_0082,0.251,0392C,0.255
art_48,J09902073,0.215,MbURU-011,0.224,Bir-173,0.225,MD18486,0.226,H37rv,0.11
art_49,2279D,0.249,UT0087,0.252,LN3588,0.245,2171L,0.254
art_4,M0020190-6,0.252,A70011_2,0.257,0B123ND,0.25,1832S,0.242
art_50,1355Z,0.255,M0020454-6,0.244,Bir-171,0.255,LN3672,0.246
art_51,MAL010105,0.257,Bir-287,0.246,410,0.255,BTB10-253,0.241
art_52,112400015,0.249,E09801032,0.255,type-strain:-0545,0.243,2462C,0.253
art_53,MB2,0.252,0B218DS,0.247,3280CJ,0.251,GG-77-11,0.251
art_54,M1559,0.257,Bir-419,0.25,UT205,0.244,0400L,0.249
art_55,TBR-102,0.228,K09700503,0.228,N09900855,0.225,UT0038,0.216,H37rv,0.102
art_56,H2463,0.252,0043Y,0.246,UT0096,0.25,2926STDY5723661,0.251
art_57,Bir-242,0.251,Bir-176,0.249,2505Z,0.247,GG-109-10,0.252
art_58,2585L,0.251,TKK_03_0089,0.254,I0000374-4,0.249,G09801536,0.247
art_59,2276A,0.262,OFXR-6,0.255,Bir180,0.255,KT-0204,0.228
art_5,2392B,0.194,1024P,0.201,M2144,0.197,H37rv,0.206,2926STDY5723724,0.201
art_60,Bir-144,0.253,I0001443-6,0.244,03-R0088,0.257,2926STDY5723727,0.247
art_61,MAL020148,0.254,400739,0.25,type-strain:-1879,0.258,Q09901557,0.238
art_62,KT-0034,0.252,TKK_02_0079,0.258,CCDC5079_1,0.244,Bir-181,0.247
art_63,Bir-349,0.251,Bir-133,0.256,02-R0846,0.246,TKK_03_0082,0.247
art_64,M1404,0.25,00-15489,0.254,type-strain:-0660,0.25,0479X,0.245
art_65,Bir-139,0.255,Bir-474,0.252,H2760,0.247,Bir-93,0.246
art_66,Bir-136,0.248,Bir-133,0.257,XTB13-119,0.247,UT0112,0.249
art_67,OFXR-13,0.255,402248,0.258,Bir-278,0.25,KT-0185,0.237
art_68,0498S,0.249,2336Q,0.252,OFXR-12,0.251,I0004426-8,0.247
art_69,2926STDY5723480,0.245,Bir-265,0.255,7199-99,0.254,C0004133-6,0.246
art_6,2011-0565,0.252,Bir-144,0.243,0733Y,0.25,F00002017,0.255
art_70,1537X,0.259,2391A,0.247,MAL020135,0.244,M0017764-3,0.25
art_71,Bir-112,0.254,Bir-306,0.254,KT-0203,0.249,GG-229-10,0.243
art_72,C2_2,0.252,ATCCBAA-824,0.25,TBV4768,0.252,J09500385,0.246
art_73,Bir-33,0.255,01-R1278,0.246,2525W,0.251,Bir-130,0.248
art_74,MDRDM627,0.0,TB_RSA149,0.261,GG-109-10,0.238,Bir-134,0.258,1772C,0.243
art_75,PanR0304,0.232,M00201208,0.222,BTB05-285,0.223,KT-0199,0.221,H37rv,0.102
art_76,I09702330,0.252,2234E,0.256,Bir-173,0.251,L_13621,0.241
art_77,SIT745-EAI1-MYS,0.256,02-R0142,0.245,A70645,0.248,TKK_02_0010,0.251
art_78,MTB1,0.254,I0005682-5,0.252,1325R,0.249,TKK_03_0098,0.244
art_79,BTB04-158,0.254,2926STDY5723773,0.247,M1393,0.251,MTB1_M,0.248
art_7,Bir-247,0.252,I09400970,0.25,00-R1244,0.25,Bir-265,0.248
art_80,Aethiop_vetus_234,0.252,2333M,0.246,Bir-255,0.254,G09901357,0.249
art_81,0539M,0.258,KT-0085,0.25,M2384,0.248,TRS1,0.244
art_82,PanR0403,0.25,NRITLD57,0.252,Bir-27,0.255,TKK_03_0115,0.244
art_83,TBMENG-03,0.25,N09902308,0.256,M0002998-4,0.249,M1932,0.245
art_84,0277C,0.253,A70011_6,0.253,A70490,0.243,KT-0028,0.251
art_85,BTB08-356,0.247,GG-77-11,0.248,0052H,0.253,A00301419,0.252
art_86,E09701191,0.251,SIT745-EAI1-MYS,0.255,B00001265,0.25,Bir-416,0.245
art_87,2926STDY5723733,0.249,0174Q,0.25,Beijing2014PNGD,0.244,2926STDY5723441,0.256
art_88,MP2,0.252,2011-0565,0.251,BE_116771,0.248,1700284,0.248
art_89,112400015,0.251,M0009182-8,0.257,H107,0.25,TB_RSA149,0.242
art_8,632,0.239,2926STDY5723702,0.254,02-R1551,0.25,ZMC13-88,0.257
art_90,MDRDM627,0.0,GG-27-11,0.248,A70011_2,0.245,2559H,0.255,LN3672,0.251
art_91,MAL020173,0.247,MD18489,0.249,type-strain:-2500,0.254,M0506147,0.25
art_92,PanR0403,0.256,H111920015,0.255,GG-36-11,0.255,M0018060-5,0.233
art_93,662,0.246,UT0071,0.254,2538K,0.268,KT-0099,0.233
art_94,MD16568,0.254,J09900583,0.254,type-strain:-2339,0.251,2248V,0.242
art_95,OSDD518,0.249,Bir-91,0.254,MAL020107,0.245,Bir-279,0.252
art_96,0344A,0.502,T09800777,0.246,0B076XDR,0.252
art_97,0754W,0.255,UT0071,0.242,UT0100,0.248,2214H,0.255
art_98,2516L,0.246,2267Q,0.256,0638V,0.249,Bir-124,0.249
art_99,667,0.253,1343L,0.254,J09902073,0.25,H_13571,0.243
art_9,Bir-42,0.248,0284K,0.252,I0001406-3,0.254,J09500392,0.246
