0323C,0459A,M1317,TRS15
Bir-423,D00000071,NCGM946K2,TRS9
0322B,2337R,2537J,AUH7
2489F,A70280,BIR-03,Kurono
0427Q,1487S,AUH5,UT0037
0925G,2625E,Bir-115,UT0069
0533F,1942M,2391A,Bir-66
0836K,PR10,PanR0908,TB_RSA175
Bir-177,Bir-388,M0003226-9,XDR1221
2433W,Bir-278,Bir-464,KT-0183
BTB06-340,K09700503,MAL020197,UT0098
2182Y,2540P,K00500041,M1425
0459A,1507P,Bir-32,MTB20_M
00-R1152,0441F,0B169XDR,TKK_04_0029
0A012DS,2516L,H2375,KT-0091
2541MS,AUH7,Bir-474,M2086
Bir-311,I0000522-8,M2134,type-strain:-0292
0524W,H2375,KT-0029,M1340
0A094DS,Bir-93,KT-0100,UT0115
0647E,Bir-284,I0005443-2,TRS1
1397V,632,BTB11-289,H3361
2926STDY5723733,A70260,I0003584-5,type-strain:-0131
Bir-188,Bir-306,Bir-74,M0020454-6
I0001662-1,MAL010087,OFXR-11,TRS5
BTB11-047,KT-0070,M0024434-4,MAL010137
01-R0712,01-R0824,HN-506,NRITLD17
07-05749,0B123ND,2926STDY5723873,Bir-475
2249W,2487E,AH_14271,LE76
I0002935-0,M1929,MAL010086,OFXR-30
0A115DS,Bir-477,Bir-56,KT-0064
02-R0981,Aethiop_vetus_234,Moreau_1,NRITLD59
Bir-135,I0002150-6,KT-0092,UT0124
1457K,BTB08-309,Bir-263,MAL020179
Bir-414,Bir-92,KT-0201,M2131
0049E,0392C,H3986,TKK_04_0017
ATCCBAA-688,AU_8623,BTB11-160,Bir-322
0912S,Aethiop_vetus_232,Bir-251,Bir-475
01-R0228,2074CJ,Bir192,UT0014
C0003187-3,H111920015,J09900221,M0016693-5
0647E,Bir-133,M2141,type-strain:-0545
02-R1933,2196MM,AUH13,Bir-32
0469L,200253,2360R,MAL010136
01-R0648,GG-134-11,M1906,SUMu009
1500108,2257E,2926STDY5723497,Bir-102
2636R,I0004478-9,KT-0016,LN3668
0486E,2514J,BTB08-001,MAL010136
001_13432,1067L,H107,I0001662-1
00-15489,2353J,M1400,TB_RSA161
2302D,Bir179,T09800777,UT0090
H3367,Mtb43,SLM056,TRS14
0018W,Bir-228,M1397,M2007
1607Y,2337R,621,Bir185
0666A,1343L,E09701106,H114540002
0822-11,A4,H1329,UT0052
2345A,2591S,LN3584,type-strain:-0430
1821ADB38,BTB11-192,Bir-299,M2384
1551M,200253,2351G,TKK_03_0101
0469L,A09901284,ATCC35740,M1961
0429S,D-4155,MAL010084,XTB13-128
2926STDY5723623,Bir-142,M1295,M1978
2926STDY5723423,Bir-22,Bir-78,T46_2
2926STDY5723623,Bir-135,M2116,M2130
Bir-239,Bir172,M1340,XTB13-161
47,Bir-94,I0005710-4,XDR1219
2337R,A70144_1,M2134,M2350
I00300818,KT-0003,M1221,XTB13-121
02-R0991,1067L,1507P,Bir-30
Bir-324,MAL010078,MbURU-002,
0392C,0650H,2276A,TKK_03_0082
Bir-173,J09902073,MD18486,MbURU-011
2171L,2279D,LN3588,UT0087
0B123ND,1832S,A70011_2,M0020190-6
1355Z,Bir-171,LN3672,M0020454-6
410,BTB10-253,Bir-287,MAL010105
112400015,2462C,E09801032,type-strain:-0545
0B218DS,3280CJ,GG-77-11,MB2
0400L,Bir-419,M1559,UT205
K09700503,N09900855,TBR-102,UT0038
0043Y,2926STDY5723661,H2463,UT0096
2505Z,Bir-176,Bir-242,GG-109-10
2585L,G09801536,I0000374-4,TKK_03_0089
2276A,Bir180,KT-0204,OFXR-6
1024P,2392B,2926STDY5723724,M2144
03-R0088,2926STDY5723727,Bir-144,I0001443-6
400739,MAL020148,Q09901557,type-strain:-1879
Bir-181,CCDC5079_1,KT-0034,TKK_02_0079
02-R0846,Bir-133,Bir-349,TKK_03_0082
00-15489,0479X,M1404,type-strain:-0660
Bir-139,Bir-474,Bir-93,H2760
Bir-133,Bir-136,UT0112,XTB13-119
402248,Bir-278,KT-0185,OFXR-13
0498S,2336Q,I0004426-8,OFXR-12
2926STDY5723480,7199-99,Bir-265,C0004133-6
0733Y,2011-0565,Bir-144,F00002017
1537X,2391A,M0017764-3,MAL020135
Bir-112,Bir-306,GG-229-10,KT-0203
ATCCBAA-824,C2_2,J09500385,TBV4768
01-R1278,2525W,Bir-130,Bir-33
1772C,Bir-134,GG-109-10,TB_RSA149
BTB05-285,KT-0199,M00201208,PanR0304
2234E,Bir-173,I09702330,L_13621
02-R0142,A70645,SIT745-EAI1-MYS,TKK_02_0010
1325R,I0005682-5,MTB1,TKK_03_0098
2926STDY5723773,BTB04-158,M1393,MTB1_M
00-R1244,Bir-247,Bir-265,I09400970
2333M,Aethiop_vetus_234,Bir-255,G09901357
0539M,KT-0085,M2384,TRS1
Bir-27,NRITLD57,PanR0403,TKK_03_0115
M0002998-4,M1932,N09902308,TBMENG-03
0277C,A70011_6,A70490,KT-0028
0052H,A00301419,BTB08-356,GG-77-11
B00001265,Bir-416,E09701191,SIT745-EAI1-MYS
0174Q,2926STDY5723441,2926STDY5723733,Beijing2014PNGD
1700284,2011-0565,BE_116771,MP2
112400015,H107,M0009182-8,TB_RSA149
02-R1551,2926STDY5723702,632,ZMC13-88
2559H,A70011_2,GG-27-11,LN3672
M0506147,MAL020173,MD18489,type-strain:-2500
GG-36-11,H111920015,M0018060-5,PanR0403
2538K,662,KT-0099,UT0071
2248V,J09900583,MD16568,type-strain:-2339
Bir-279,Bir-91,MAL020107,OSDD518
0344A,0B076XDR,T09800777,
0754W,2214H,UT0071,UT0100
0638V,2267Q,2516L,Bir-124
1343L,667,H_13571,J09902073
0284K,Bir-42,I0001406-3,J09500392
