1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
C272678T,C4054364T,C1261056T,T1750465C,C569045T,A877055C,C685578A,A395537C,C1509924T,A1070381G,G1072628A,G1690407A,T707334C,A489240G,A799666G,,,G1106614T,C342873T,G3706260C,,,G875034A,,A1495326G,G2158582A,G1139102A,C594027T,T1106877C,C1233417G,A3147742G,G1931219A,G1082983A,C449967T,C828516T,C591505A,G2793706A,G1526839A,C3020457T,G3007524A,T2153246G,C2503625T,G2108291A,A1423209G,C980100T,A1157768C,G1815604A,,G3244674A,G1771320A,,A2822255C,C2344853A,G3347480A,G1159141A,A715542G,C2093998T,,C595232T,C2377785T,T1502795C,C3300104T,G1275303C,C487475A,T294374G,G2255081C,,,,C1482563T,C1149463T,C1478425A,G1074929C,A77327C,T441891C,C57731T,G75191A,G418942A,C721208T,A157922G,G53899A
T290374C,G4243848A,C1399129T,G1894765A,A685153G,G1144221A,C738603T,G452754T,C1770137T,C1099212T,G1188232A,C1722036A,C811753T,C506125T,G866051A,,,C1174655T,G363563A,G4065300T,,,G898570A,,G2007502A,G2580954C,T1326796G,A812065G,G1237562C,T1269642C,,G2244770A,G1225409A,C454165T,C920875T,C738902T,C2882343A,C1548127G,G3066280A,A3117588C,G2156847A,C2736434A,G2403621C,C1438989T,G980360T,G1231349A,G2077253A,,,C2327492T,,G2868925A,G2416167T,G4343048C,C1221479T,G878051A,T2109694C,,C628113T,G3028658A,T1706262C,A3477794G,G1275411A,C540349T,C320588G,C2325185T,,,,G1487485A,A1204546G,C1519844T,T1167237C,G89474A,G443897A,T72545G,G81894A,T442244C,C724794A,C165487T,C59181T
A326002G,T4286156C,C1769780T,G1980325A,G711155A,C1293121T,G953861A,A453299G,C1976014T,A1136017G,A1214118G,C1774002T,C972980T,C522053A,C892416T,,,G1197567C,C438470T,,,,T1240513C,,G2020144A,G2752854A,T1430989G,G938316T,G1244655T,G1335596A,,C2304068A,G1345335A,G503934T,G1112130A,A753562G,G3257531A,A1652216G,G3383966C,A3259272C,T2428471C,G3101119T,A2646749G,T1620582C,G1047683T,C1334260A,C2128908T,,,C2385695T,,G2945342A,C2770654T,,G1234999A,C1054645A,C2185888T,,G685869A,A3405776G,G1726541A,T3904969C,A1438578G,C550559T,C473737G,T2646274G,,,,G1547498A,C1444655T,G1597377A,C1347201T,G95867T,G489514A,G73456A,G82317T,C472080A,A732552G,C199359A,C68129T
C344288G,G4369848A,T1924765C,G2311357A,G794482C,G1491275A,A988194G,C480890G,A2297406G,G1315746A,G1365430C,C1821774T,T1168776G,A550941G,A919351C,,,C1246500T,G440365A,,,,G1255618A,,A2225456T,G2946570A,T1626022C,A1003545G,A1546541C,C1399084T,,C2473699T,G1375114A,C694954T,A1183847G,A756216G,G3471151A,G1660440A,,C3579166G,G2923264A,G3191027A,G3037136A,C1724800T,G1090172A,C1354765G,G2144617A,,,G2443188A,,G3037917A,G2905505A,,C1434298T,C1056094T,C2253701G,,A859769G,G3562270C,A1757105C,A4076869G,C1569845T,G628902A,G606376A,C2751859A,,,,G1594848A,T1445091G,C1668900T,T1567092C,C140875T,G490398A,C77870A,C84263A,G528935A,A769162G,C220448T,G107805A
G357582A,G4404247A,C2063106T,C2326192T,G856563T,C1697460T,C1060878T,G485893T,G2328260C,G1363194A,G1677267A,C2024990T,A1201581C,C570641A,A1071966G,,,C1511460T,C440878T,,,,C1323386T,,T2253453C,T3001395C,C1850119T,T1006538G,C1645334T,T1478277G,,G2871251A,G1414528A,C724339T,C1276533T,T795991G,T3541237A,G1722138A,,C3699068T,C3141827G,C3594124T,A3233295G,G1951736A,G1290326A,C1451542T,G2315669A,,,A3006767C,,C3170166A,G3147376A,,G1508817A,T1399589G,G2446408A,,C869679T,C3692193T,A1763855G,G4260742A,T1588887C,G681775A,C622547T,G2755469A,,,,C1697242T,A1664167G,G1914859A,C1622641T,C141516T,A491668G,G80705A,G88402T,A598972G,G772896A,C249146T,A119987G
T378357G,,G2078024A,C2330237T,C1073716T,C1721745T,T1149548A,G487246C,C2364740T,C1478222G,G1805690A,A2197675C,G1577241A,C643813T,A1145848C,,,C1565566T,G447642C,,,,T1396281C,,C2263760T,A3017276G,C2053091G,C1019277T,C1868578T,C1524716T,,C2898337T,C1442492T,A751736G,G1399311A,C954906T,G3564737C,G1776885A,,G4385099A,G3416734A,C3776706T,T3684845G,C2056882T,T1440150C,C1592015T,G2347442C,,,G3089679A,,C3419560T,G3401501A,,G1853674A,A1567056C,C2597696T,,C979314T,A4076615C,T2447282G,G4315495A,G1625769A,G854101T,A698949G,G2893701A,,,,G1903197T,C1764808T,A2216976G,A1648746C,C146893T,C494915A,G81160T,G89209A,C643267T,T868271C,G282184A,T154276G
C393941T,,G2772960A,G2412584A,T1195358G,G1967975A,G1249771A,T530485C,C2631278A,C1553855T,G1971673A,G2474685T,T1643864C,A648465G,G1288698A,,,C1750386T,C517389A,,,,G1400209C,,C2325009T,T3170663C,T2773673G,C1023567T,C2008870G,C1642075T,,G2911823A,A1462270G,C799002T,C1488041T,C1409766T,C3646964G,C1961706G,,C4391753T,G3497369A,G4135112A,T3981171G,C2116663T,G1625019A,G1801706T,G2518919A,,,G3158935C,,G3608514A,G3448608A,,C1937374A,T1684546C,G2790578A,,C1184605A,,G2494263A,,G1900732A,G886351A,G734562A,T2919532G,,,,A2177998G,C1772820G,G2782140A,C1882573G,C155478A,C507989T,A90613G,A94691G,G693521T,A916659G,G290983T,G156249C
G396750A,,T2907840G,C2422687G,C1281307T,G2580759A,C1376033G,G619695A,C2738352T,C1668914G,G2047874A,C2510553A,A1651308G,T669565G,A1322741G,,,C1762216G,C523654T,,,,C1523478A,,C2574022T,A3352244G,C2824839T,C1117773G,G2054805A,C1820976T,,C3013784G,C1518165G,G807795A,C1499248T,A1441794G,C3917305A,G2203875A,,,C3694373T,A4163944G,C4047843T,G2456275A,C1799806T,T1862066A,G2814961A,,,A3267743G,,C4007564T,G3463451C,,C1980719T,C1689879T,C2868976G,,T1328222C,,G2562752A,,C2105065T,C1015811A,G743409A,G3048841A,,,,G2210615A,G2073605C,C2916988T,A1896274G,C164936T,C514098T,A100122G,C107740T,C707272T,C1149128T,A378159G,C159941T
T406274C,,G3021283A,C2470934A,A1361350C,G2581971A,G1485363T,G631279A,C2742494T,G1712671A,C2119694T,G2548139A,A1678706C,G717730A,C1541798T,,,C1935437T,T548326C,,,,T1576142G,,G2617673A,C3597737T,C2897760T,C1118550T,C2090921T,T1890886C,,C3573090A,T1554087G,G923464C,C1603232T,C1442141G,G4199739T,A2486335G,,,T3867973C,T4340330G,C4304045T,C2572438T,T1813255A,A2034662G,T3061615C,,,G3514512C,,G4055993A,A3575106G,,G2016998C,C1721370T,G3108217T,,C1465155T,,G2794793A,,T2152451G,A1200899G,G778673A,G3183165C,,,,G2323735A,G2417281A,C2951348G,G1940611C,C202229G,G524802A,C101706T,C111963A,C718630T,G1234657A,C386574T,C160246T
C420405T,,C3220545T,C2478541T,G1397199A,G2890112A,C1505829T,C671794T,C2997944T,C1964913T,C2191428T,C2595961T,A1831226G,C741458T,G1594906A,,,G2140076A,C611977T,,,,C1648096T,,C2671061A,G4192588A,C3062908A,C1198341T,C2426630T,G1909220A,,T3587072C,T1654031C,C939231T,G1605802A,C1466779T,,C2727096T,,,C4298106A,,,T2614031G,G1838153A,A2371788G,A3261380G,,,G3561155A,,T4116773C,G3664135A,,C2121742G,C1763564T,C3347560T,,G1597405A,,C3332626T,,G2225515A,C1207340T,A796578G,A3706459C,,,,C2551666T,G2902956C,T3360553C,A2004917C,C227468T,G526255A,T103721C,G112434A,G755907A,C1376624T,C405709T,C160910T
G447525C,,C3330725T,G2533237A,C1575275A,A3132289G,C1599996T,G697606A,G3337585A,G2239160C,G2284848A,G2657046A,A1834177C,A749176G,C1620181G,,,C2141368T,G629714A,,,,T1837815G,,C2788745T,G4232863C,T3101005G,A1268540G,C2454856T,C2017113T,,G3693875A,C1701477G,A991959G,C1839362T,C1568018T,,A2880507G,,,C4383945T,,,C2669816A,A1885073G,T2380682G,C3423184T,,,G4043365T,,G4140319A,G3995342A,,C2159655T,G1803959T,G3547681A,,A1736577G,,G3423426A,,G2681905A,C1280508T,C844930T,C3920336T,,,,C2573044T,C2912746T,C3438695G,C2099641T,C233377T,G526406A,C111135T,C127508T,G771092A,C1423826T,C407858T,G173096C
G456511A,,A3629776G,C2663319A,C1596515T,A3246955G,C1813910T,G710748T,C3358768T,G2278507A,C2330343A,C2771457A,A1877744C,C793696G,G1647436A,,,C2185009T,C753174A,,,,C1862121T,,C2906978T,G4306767A,C3402067T,G1285799A,G2523709A,G2223372C,,C3973152G,G1877862T,C1149932T,C1926906T,G1574120A,,G2919808A,,,,,,T2767100G,G2184371A,A2461815G,C3643392T,,,C4373475G,,G4307886A,C4020812T,,G2347615A,A1808124C,T3609004G,,C1751042T,,A3480435G,,A2781384G,C1352350T,C895130T,C4048148A,,,,T2754723C,G3404883A,T3670621C,C2327417T,A258470G,A556089G,G112336A,C130355A,G772313T,C1467695T,A473352G,C174602T
C469042T,,C3657710G,C2694026T,G1831531A,G3248276A,A1986451G,C712143A,C3993537T,C2282130A,G2332153A,G2821426A,G1955941C,T808434G,A1688064G,,,T2602454G,C807405T,,,,A1969545T,,C3005618T,,G3464053A,G1286666A,C2623232G,C2276018A,,C4095728G,C1924484T,G1152085A,C1937571G,C1670814T,,G3192080A,,,,,,G3360032A,C2192350T,G2470627A,C3973954T,,,A4403900G,,,T4072313G,,C2476128T,C1904706G,G3708849A,,G2033748C,,G3898637A,,A2897684G,G1373502A,C912545G,C4051663T,,,,G2755531A,A3585759G,C3878863A,G2420304A,T306201C,G592494A,G123065A,C130451T,C791330T,A1496158G,G478571A,C195186T
C495473T,,T3774077A,C2773181T,C1876393T,G3549346A,T2069882C,C715075T,G4024316C,C2324087A,G2355363T,C2904886T,G1980652T,G809958T,C1849051T,,,C2881542G,C919551T,,,,G2081538A,,A3258274C,,C3641447T,C1305971T,C2645270T,C2739087T,,C4239298T,G2010396C,C1243792T,G2078644C,G1677603A,,C3344133G,,,,,,C3368219T,C2249403T,G2844689C,T4363069C,,,,,,G4149144T,,C2699050T,A2246438C,G3828326C,,G2184781T,,C4148377T,,G2993386A,C1434648T,A1043959C,G4127389A,,,,G2914906C,T3625836C,,T2652332G,G345317C,C656432T,C129295A,C139019A,G820538A,C1499291T,G506553T,C204609T
T555945C,,C4177882A,C2791079T,G1901623T,G3707884A,T2099007C,G726198A,C4402895G,C2672514G,C2501007T,G3090181A,A2172380C,A875561G,T1885385G,,,G2883217C,C957306T,,,,T2269825G,,C3289923A,,G4154011T,T1452918C,C2704329T,C2788050T,,G4256758C,G2192959A,T1265434C,C2212900A,C1710354G,,C3463561T,,,,,,C3679532T,G2438090A,G2871911A,G4385530C,,,,,,C4353557T,,C2793515T,A2410938T,T3879560C,,C2273627T,,C4214751A,,G3238748A,T1518164A,A1059154G,G4236903A,,,,T3343014G,G3630371A,,C2816479T,C379687T,C659019T,T134002G,C141291A,T821565C,A1724095G,C516532T,C221561A
A560666G,,G4218940T,C2994964T,G1948644A,G3715012T,T2247140C,G747640A,,G2867547A,G2751502T,A3155382G,A2185674G,G911655A,A2112832C,,,C3128345G,G991939A,,,,G2342425C,,C3355161T,,G4164866A,C1508301G,C2913078G,G2980975A,,G4331585A,G2484215C,C1306874T,C2235314T,C1728022G,,C3649458A,,,,,,G4218791T,A2537602C,G3095606A,,,,,,,C4385709G,,C2799571T,G2610344C,T3924275C,,C2374245T,,C4245055A,,T3479424G,G1567533C,C1109278T,G4397619C,,,,G3348870A,G3687560A,,G2902742T,G408006T,T669225C,A137163T,G156317A,G894843C,C1739294G,G539488A,C230101T
C564723T,,G4314216A,G3022811A,A1967783G,C3771123T,G2264973A,G786685T,,G2912061A,G2763624A,C3323665A,T2294007C,C945915T,C2177366T,,,G3134017T,G1002172A,,,,C2374007T,,G3440895A,,C4240897G,A1555979T,C3207290A,C3044919T,,,G2524666A,T1376642C,C2269304G,A1732204G,,C4036398T,,,,,,C4262222G,G2649855A,G3524903A,,,,,,,,,A3102127G,G2694560C,C3924991T,,G2440953T,,A4367911G,,G3560344A,C1581419A,A1153539G,,,,,T3389922G,G3720172A,,C2948535G,C408935T,T669231G,T138083C,G163669C,T934769G,A1886109G,C552367T,G231284A
C580336A,,,C3227768A,T2008669A,C3870870T,G2300477A,G1004547A,,C3285318T,T3001053C,G3346959T,C2337179T,T989418C,C2202500T,,,G3162021C,C1008460T,,,,G2415042T,,G3556607T,,,G1605202C,G3249411A,T3273638C,,,C2596354T,C1458106A,A2283198G,A1817856C,,T4076538C,,,,,,T4283644C,C2695094G,C3717205T,,,,,,,,,G3102133A,G2860213A,G4016840A,,T2465997G,,,,A3889750G,A1639894C,C1167695T,,,,,G3468524C,G3888838T,,T2984928G,G442468A,G688260A,G142799A,C173566T,G973938A,G1947951A,G569088A,G261680A
G591965A,,,G3364142A,G2057593A,G4096875A,C2327329A,A1077981G,,A3339417G,C3049806T,G3362218T,G2399734A,G1023277A,C2315386A,,,A3312401C,C1009500T,,,,G2448800A,,G3783058A,,,C1612704T,C3303669A,C3810038G,,,G2640369A,C1549646T,T2469979G,G1867838A,,A4284201G,,,,,,G4368326A,G2907629A,C3849867T,,,,,,,,,C3203058T,T3015686C,C4117692G,,G2816034A,,,,G3908458A,C1703142G,C1198313G,,,,,G3652797A,A3900023G,,G3161463A,G445696T,G709150A,C163950T,A195233C,C993988A,A2058282G,C595914T,C268953T
G595501A,,,G3574258A,G2068353A,,C2346071T,T1128665C,,G3352933A,G3052353A,C3487707A,A2521428G,C1070687G,A2354791G,,,C3418386T,C1012815G,,,,C2484329T,,G3854174A,,,C1830007A,G3458659A,A4233217G,,,A2667578G,C1564799T,G2523830C,G1872211A,,G4376670T,,,,,,,G2964024A,G3883226A,,,,,,,,,G3203190C,A3036095G,G4313577A,,C2982955T,,,,G4093770A,G1746781A,G1358359T,,,,,C3861190A,G4282940A,,C3169149T,C456731T,C735252T,T167150C,C198351A,T1105923C,C2197669T,G649585A,T281526C
G615938A,,,G3715840A,G2110812T,,G2372949A,C1199722T,,T3398940C,A3183210G,G3787156A,T2543395C,C1099797A,G2505085A,,,T3823194C,T1144409G,,,,T2607391C,,C3866350T,,,C1889579T,G3567600A,G4269540A,,,C2771693G,G1625676A,G2564928T,C2057591T,,,,,,,,,G3130682A,T4005862C,,,,,,,,,G3211311A,C3074721G,,,A3143100G,,,,C4285162T,C1847570T,C1418234T,,,,,G4078348A,C4291773G,,C3302308T,C458116T,G754754A,A168945G,G199034T,G1116612A,T2201296C,T681164G,C286485T
G621390A,,,G3793428T,C2131540T,,G2611442A,A1245061G,,C3400230T,G3429876C,T3983049G,G2741209A,C1104944T,G2752122C,,,C4302926G,T1152805A,,,,G2615670A,,G3873242A,,,T1894639G,T3629928C,,,,A2952466T,A1652272C,C2673255G,C2063685T,,,,,,,,,G3195557A,C4045645T,,,,,,,,,G3223234A,G3216607A,,,G3304753T,,,,C4348079T,T1850082C,G1421309A,,,,,G4105338A,C4295031T,,C4165205T,G482106A,C760969T,C173460T,C209411A,C1239709A,G2252239A,T684411C,C302245T
C627350G,,,,A2143973G,,C2655771A,C1287533T,,C3504418T,C3458422A,C4108043T,G2833329A,G1106464A,C2775361T,,,C4377999A,C1153388T,,,,C2815641G,,A3887921G,,,A1939945C,G3727746A,,,,G3023036A,C1654689T,G2909040T,A2063911G,,,,,,,,,G3195975A,G4084599T,,,,,,,,,G3263130A,C3248421A,,,G3792796A,,,,,T1985124G,C1481731T,,,,,C4170662G,C4295427G,,C4330110A,A487463G,A761723C,A173914G,G221190T,C1268776T,A2265626G,G722515C,C307190T
C649345T,,,,G2146024A,,A2694189G,C1479325A,,G3974868A,T3470324C,G4176914T,G2948230A,C1135798T,C2793810A,,,T4400839C,C1177184A,,,,G2868019C,,T3925733G,,,A2067164G,A4047967C,,,,C3333080T,A1660045G,G3071916A,A2173033G,,,,,,,,,C3340615G,G4137657A,,,,,,,,,G3281523C,C3299886T,,,C4139670T,,,,,C2143958T,G1482803C,,,,,,,,,C495322T,G816862T,A184321G,C221591T,C1346702T,C2301394T,C788070A,C307555T
C678440T,,,,G2147429C,,C2887744A,T1530439C,,C4014376A,C3517413T,C4240750T,C3010993T,G1171107C,G2903439A,,,,A1247391C,,,,G2874344A,,G4063682T,,,G2194324A,C4051716T,,,,C3346060T,T1698192C,T3105369G,G2181026C,,,,,,,,,G3414791C,C4147496T,,,,,,,,,C3383749T,G3310127C,,,G4257849A,,,,,C2158327T,G1503186C,,,,,,,,,C519872T,C959369T,G184638A,G227466A,T1383672G,T2475888G,C793082G,T314616C
G685955A,,,,G2249789A,,C2929799T,A1557518G,,G4049254A,G3534263C,A4340312G,G3033189A,G1304443A,A2955957C,,,,T1308317C,,,,G2881898C,,G4146314T,,,T2220309G,C4229087T,,,,C3396059T,G1791961A,G3195284T,C2251179T,,,,,,,,,A3436296G,G4388153A,,,,,,,,,G3861821A,C3338252T,,,G4260268C,,,,,A2176101G,C1557212T,,,,,,,,,G525205A,G982363T,C204504G,C238202T,G1414044C,A2484801G,G834408A,G317963A
G720863T,,,,C2399887T,,C3042301T,G1624992A,,C4113833T,G3677203A,,G3304966A,G1310756C,G3137736T,,,,G1371470A,,,,G2895891T,,C4357123A,,,G2242615A,T4270835C,,,,T3518371C,C1823738T,C3197005T,G2280734A,,,,,,,,,G3451670C,,,,,,,,,,G4006527A,G3349093C,,,A4287195G,,,,,T2233947C,C1564845G,,,,,,,,,G539019A,T988043C,C205771T,C238576A,C1436571T,T2486454C,C844350A,G320226A
