1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,C272678T,T707334C,T707334C,T707334C,T707334C,T707334C,T707334C,C342873T,C342873T,C342873T,C342873T,C342873T,,G897209C,G897209C,G897209C,G897209C,G897209C,G897209C,G897209C,G897209C,G897209C,G897209C,G897209C,G355803T,G355803T,G355803T,G355803T,G355803T,G355803T,A1142266C,A1142266C,A1142266C,A1142266C,A1142266C,A1142266C,A1142266C,A1142266C,A1142266C,A1142266C,A1711676C,A1711676C,A1711676C,A1711676C,A1711676C,C1626656T,A2369971G,A2369971G,A2369971G,A2369971G,A2369971G,A2369971G,A2369971G,A2369971G,A2369971G,A2369971G,C3270289A,G3836739A,G3836739A,G3836739A,G3836739A,C90229T,A77327C,T441891C,C57731T,G75191A,G418942A,C721208T,A157922G,G53899A
T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,T290374C,C811753T,C811753T,C811753T,C811753T,C811753T,C811753T,G363563A,G363563A,G363563A,G363563A,G363563A,,C902413T,C902413T,C902413T,C902413T,C902413T,C902413T,C902413T,C902413T,C902413T,C902413T,C902413T,C423722T,C423722T,C423722T,C423722T,C423722T,C423722T,G1199547A,G1199547A,G1199547A,G1199547A,G1199547A,G1199547A,G1199547A,G1199547A,G1199547A,G1199547A,G1819488A,G1819488A,G1819488A,G1819488A,G1819488A,C1645599T,G3015966A,G3015966A,G3015966A,G3015966A,G3015966A,G3015966A,G3015966A,G3015966A,G3015966A,G3015966A,G4112595A,C4028292T,C4028292T,C4028292T,C4028292T,T258121C,G89474A,G443897A,T72545G,G81894A,T442244C,C724794A,C165487T,C59181T
A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,A326002G,C972980T,C972980T,C972980T,C972980T,C972980T,C972980T,C438470T,C438470T,C438470T,C438470T,C438470T,,T923065A,T923065A,T923065A,T923065A,T923065A,T923065A,T923065A,T923065A,T923065A,T923065A,T923065A,G447411T,G447411T,G447411T,G447411T,G447411T,G447411T,C1452071A,C1452071A,C1452071A,C1452071A,C1452071A,C1452071A,C1452071A,C1452071A,C1452071A,C1452071A,G2202582T,G2202582T,G2202582T,G2202582T,G2202582T,G1843658A,C3170460T,C3170460T,C3170460T,C3170460T,C3170460T,C3170460T,C3170460T,C3170460T,C3170460T,C3170460T,C4249732G,A4188020G,A4188020G,A4188020G,A4188020G,C279987T,G95867T,G489514A,G73456A,G82317T,C472080A,A732552G,C199359A,C68129T
C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,C344288G,T1168776G,T1168776G,T1168776G,T1168776G,T1168776G,T1168776G,G440365A,G440365A,G440365A,G440365A,G440365A,,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,C1292464T,G553613T,G553613T,G553613T,G553613T,G553613T,G553613T,G1947903T,G1947903T,G1947903T,G1947903T,G1947903T,G1947903T,G1947903T,G1947903T,G1947903T,G1947903T,C2234475T,C2234475T,C2234475T,C2234475T,C2234475T,T1901924C,,A7539G,A7539G,A7539G,C49079G,C49079G,C49079G,T8049G,A133279G,G17665A,,,A77938G,A325615C,C214036T,G394922T,C140875T,G490398A,C77870A,C84263A,G528935A,A769162G,C220448T,G107805A
G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,G357582A,A1201581C,A1201581C,A1201581C,A1201581C,A1201581C,A1201581C,C440878T,C440878T,C440878T,C440878T,C440878T,,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C1444202G,C585891G,C585891G,C585891G,C585891G,C585891G,C585891G,C2053682T,C2053682T,C2053682T,C2053682T,C2053682T,C2053682T,C2053682T,C2053682T,C2053682T,C2053682T,C2358916T,C2358916T,C2358916T,C2358916T,C2358916T,G1980871C,,C22334T,C22334T,C22334T,G561021A,G561021A,G561021A,T19154C,T283694G,G1147708A,,,C253457T,T499535C,A262868G,G500807A,C141516T,A491668G,G80705A,G88402T,A598972G,G772896A,C249146T,A119987G
T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,T378357G,G1577241A,G1577241A,G1577241A,G1577241A,G1577241A,G1577241A,G447642C,G447642C,G447642C,G447642C,G447642C,,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,A1495326G,C591505A,C591505A,C591505A,C591505A,C591505A,C591505A,C2503625T,C2503625T,C2503625T,C2503625T,C2503625T,C2503625T,C2503625T,C2503625T,C2503625T,C2503625T,A2822255C,A2822255C,A2822255C,A2822255C,A2822255C,C2093998T,,C218204T,C218204T,C218204T,C778298T,C778298T,C778298T,C19628T,G598910T,G1331187C,,,C306113T,A515123C,A292634G,G556961T,C146893T,C494915A,G81160T,G89209A,C643267T,T868271C,G282184A,T154276G
C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,C393941T,T1643864C,T1643864C,T1643864C,T1643864C,T1643864C,T1643864C,C517389A,C517389A,C517389A,C517389A,C517389A,,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,G2007502A,C738902T,C738902T,C738902T,C738902T,C738902T,C738902T,C2736434A,C2736434A,C2736434A,C2736434A,C2736434A,C2736434A,C2736434A,C2736434A,C2736434A,C2736434A,G2868925A,G2868925A,G2868925A,G2868925A,G2868925A,T2109694C,,T256640G,T256640G,T256640G,T863340C,T863340C,T863340C,G111851A,C1442109T,C1358197T,,,C449704T,G666745A,C616408G,G874957T,C155478A,C507989T,A90613G,A94691G,G693521T,A916659G,G290983T,G156249C
G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,G396750A,A1651308G,A1651308G,A1651308G,A1651308G,A1651308G,A1651308G,C523654T,C523654T,C523654T,C523654T,C523654T,,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,G2020144A,A753562G,A753562G,A753562G,A753562G,A753562G,A753562G,G3101119T,G3101119T,G3101119T,G3101119T,G3101119T,G3101119T,G3101119T,G3101119T,G3101119T,G3101119T,G2945342A,G2945342A,G2945342A,G2945342A,G2945342A,C2185888T,,T257982G,T257982G,T257982G,C868006T,C868006T,C868006T,C129566T,G1659666A,A1498304C,,,C545117A,C677213T,A720750C,G904085A,C164936T,C514098T,A100122G,C107740T,C707272T,C1149128T,A378159G,C159941T
T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,T406274C,A1678706C,A1678706C,A1678706C,A1678706C,A1678706C,A1678706C,T548326C,T548326C,T548326C,T548326C,T548326C,,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A2225456T,A756216G,A756216G,A756216G,A756216G,A756216G,A756216G,G3191027A,G3191027A,G3191027A,G3191027A,G3191027A,G3191027A,G3191027A,G3191027A,G3191027A,G3191027A,G3037917A,G3037917A,G3037917A,G3037917A,G3037917A,C2253701G,,C265244T,C265244T,C265244T,G1010532A,G1010532A,G1010532A,T205243G,G1669556T,,,,G649515T,C681313T,C748923T,G1074929C,C202229G,G524802A,C101706T,C111963A,C718630T,G1234657A,C386574T,C160246T
C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,C420405T,A1831226G,A1831226G,A1831226G,A1831226G,A1831226G,A1831226G,C611977T,C611977T,C611977T,C611977T,C611977T,,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T2253453C,T795991G,T795991G,T795991G,T795991G,T795991G,T795991G,C3594124T,C3594124T,C3594124T,C3594124T,C3594124T,C3594124T,C3594124T,C3594124T,C3594124T,C3594124T,C3170166A,C3170166A,C3170166A,C3170166A,C3170166A,G2446408A,,C412017G,C412017G,C412017G,C1289555G,C1289555G,C1289555G,G209484C,C1672681T,,,,T831594A,G769320A,C759956A,T1167237C,C227468T,G526255A,T103721C,G112434A,G755907A,C1376624T,C405709T,C160910T
G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,G447525C,A1834177C,A1834177C,A1834177C,A1834177C,A1834177C,A1834177C,G629714A,G629714A,G629714A,G629714A,G629714A,,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C2263760T,C954906T,C954906T,C954906T,C954906T,C954906T,C954906T,C3776706T,C3776706T,C3776706T,C3776706T,C3776706T,C3776706T,C3776706T,C3776706T,C3776706T,C3776706T,C3419560T,C3419560T,C3419560T,C3419560T,C3419560T,C2597696T,,G435708A,G435708A,G435708A,C1534538T,C1534538T,C1534538T,G256862A,C1857687A,,,,A896933G,C776891A,A962872G,C1347201T,C233377T,G526406A,C111135T,C127508T,G771092A,C1423826T,C407858T,G173096C
G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,G456511A,A1877744C,A1877744C,A1877744C,A1877744C,A1877744C,A1877744C,C753174A,C753174A,C753174A,C753174A,C753174A,,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C2325009T,C1409766T,C1409766T,C1409766T,C1409766T,C1409766T,C1409766T,G4135112A,G4135112A,G4135112A,G4135112A,G4135112A,G4135112A,G4135112A,G4135112A,G4135112A,G4135112A,G3608514A,G3608514A,G3608514A,G3608514A,G3608514A,G2790578A,,G488796A,G488796A,G488796A,C2821089A,C2821089A,C2821089A,A281664G,A2160773G,,,,C1094812G,C953397T,A1154368C,T1567092C,A258470G,A556089G,G112336A,C130355A,G772313T,C1467695T,A473352G,C174602T
C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,C469042T,G1955941C,G1955941C,G1955941C,G1955941C,G1955941C,G1955941C,C807405T,C807405T,C807405T,C807405T,C807405T,,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,C2574022T,A1441794G,A1441794G,A1441794G,A1441794G,A1441794G,A1441794G,A4163944G,A4163944G,A4163944G,A4163944G,A4163944G,A4163944G,A4163944G,A4163944G,A4163944G,A4163944G,C4007564T,C4007564T,C4007564T,C4007564T,C4007564T,C2868976G,,G587974A,G587974A,G587974A,C2996208A,C2996208A,C2996208A,C288231G,G2179739A,,,,C1132437T,G993253T,A1272947C,C1622641T,T306201C,G592494A,G123065A,C130451T,C791330T,A1496158G,G478571A,C195186T
C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,C495473T,G1980652T,G1980652T,G1980652T,G1980652T,G1980652T,G1980652T,C919551T,C919551T,C919551T,C919551T,C919551T,,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,G2617673A,C1442141G,C1442141G,C1442141G,C1442141G,C1442141G,C1442141G,T4340330G,T4340330G,T4340330G,T4340330G,T4340330G,T4340330G,T4340330G,T4340330G,T4340330G,T4340330G,G4055993A,G4055993A,G4055993A,G4055993A,G4055993A,G3108217T,,C595232T,C595232T,C595232T,C3300104T,C3300104T,C3300104T,T294374G,G2255081C,,,,C1482563T,C1149463T,C1478425A,A1648746C,G345317C,C656432T,C129295A,C139019A,G820538A,C1499291T,G506553T,C204609T
T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,T555945C,A2172380C,A2172380C,A2172380C,A2172380C,A2172380C,A2172380C,C957306T,C957306T,C957306T,C957306T,C957306T,,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C2671061A,C1466779T,C1466779T,C1466779T,C1466779T,C1466779T,C1466779T,,G1169028A,G1169028A,G47699A,G47699A,G8040A,G571943A,G571943A,G571943A,G571943A,T4116773C,T4116773C,T4116773C,T4116773C,T4116773C,C3347560T,,C628113T,C628113T,C628113T,A3477794G,A3477794G,A3477794G,C320588G,C2325185T,,,,G1487485A,A1204546G,C1519844T,C1882573G,C379687T,C659019T,T134002G,C141291A,T821565C,A1724095G,C516532T,C221561A
A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A560666G,A2185674G,A2185674G,A2185674G,A2185674G,A2185674G,A2185674G,G991939A,G991939A,G991939A,G991939A,G991939A,,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C2788745T,C1568018T,C1568018T,C1568018T,C1568018T,C1568018T,C1568018T,,A1172079G,A1172079G,G243118A,G243118A,C403920T,T1037355C,T1037355C,T1037355C,T1037355C,G4140319A,G4140319A,G4140319A,G4140319A,G4140319A,G3547681A,,G685869A,G685869A,G685869A,T3904969C,T3904969C,T3904969C,C473737G,T2646274G,,,,G1547498A,C1444655T,G1597377A,A1896274G,G408006T,T669225C,A137163T,G156317A,G894843C,C1739294G,G539488A,C230101T
C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,C564723T,T2294007C,T2294007C,T2294007C,T2294007C,T2294007C,T2294007C,G1002172A,G1002172A,G1002172A,G1002172A,G1002172A,,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,C2906978T,G1574120A,G1574120A,G1574120A,G1574120A,G1574120A,G1574120A,,A1311086G,A1311086G,G244911C,G244911C,G479632T,G1297327A,G1297327A,G1297327A,G1297327A,G4307886A,G4307886A,G4307886A,G4307886A,G4307886A,T3609004G,,A859769G,A859769G,A859769G,A4076869G,A4076869G,A4076869G,G606376A,C2751859A,,,,G1594848A,T1445091G,C1668900T,G1940611C,C408935T,T669231G,T138083C,G163669C,T934769G,A1886109G,C552367T,G231284A
C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C580336A,C2337179T,C2337179T,C2337179T,C2337179T,C2337179T,C2337179T,C1008460T,C1008460T,C1008460T,C1008460T,C1008460T,,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C3005618T,C1670814T,C1670814T,C1670814T,C1670814T,C1670814T,C1670814T,,A1421109G,A1421109G,C326039T,C326039T,C535695T,A1847811C,A1847811C,A1847811C,A1847811C,,G283313A,G283313A,G283313A,G283313A,G3708849A,,C869679T,C869679T,C869679T,G4260742A,G4260742A,G4260742A,C622547T,G2755469A,,,,C1697242T,A1664167G,G1914859A,A2004917C,G442468A,G688260A,G142799A,C173566T,G973938A,G1947951A,G569088A,G261680A
G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G591965A,G2399734A,G2399734A,G2399734A,G2399734A,G2399734A,G2399734A,C1009500T,C1009500T,C1009500T,C1009500T,C1009500T,,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,A3258274C,G1677603A,G1677603A,G1677603A,G1677603A,G1677603A,G1677603A,,A1465535G,A1465535G,C466096T,C466096T,G812808A,G2527676A,G2527676A,G2527676A,G2527676A,,C651772A,C651772A,C651772A,C651772A,G3828326C,,C979314T,C979314T,C979314T,G4315495A,G4315495A,G4315495A,A698949G,G2893701A,,,,G1903197T,C1764808T,A2216976G,C2099641T,G445696T,G709150A,C163950T,A195233C,C993988A,A2058282G,C595914T,C268953T
G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,G595501A,A2521428G,A2521428G,A2521428G,A2521428G,A2521428G,A2521428G,C1012815G,C1012815G,C1012815G,C1012815G,C1012815G,,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C3289923A,C1710354G,C1710354G,C1710354G,C1710354G,C1710354G,C1710354G,,T1541214C,T1541214C,T515125G,T515125G,G919393C,C2599821A,C2599821A,C2599821A,C2599821A,,C821102T,C821102T,C821102T,C821102T,T3879560C,,C1184605A,C1184605A,C1184605A,,C14192T,G67385A,G734562A,T2919532G,,,,A2177998G,C1772820G,G2782140A,C2327417T,C456731T,C735252T,T167150C,C198351A,T1105923C,C2197669T,G649585A,T281526C
