1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,939.0,939.0,939.0,939.0,939.0,3761.0,3761.0,3761.0,3761.0,3761.0,3761.0,3761.0,3761.0,3761.0,3761.0,3761.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,6861.0,6861.0,6861.0,6861.0,6861.0,6861.0,6861.0,6861.0,6861.0,6861.0,7093.0,7093.0,7093.0,7093.0,7093.0,5245.0,,647.0,647.0,647.0,1993.0,1993.0,1993.0,79.0,1529.0,3371.0,,,865.0,1345.0,841.0,2735.0,261.0,1137.0,205,259.0,1113.0,1867.0,497.0,211.0
837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,2063.0,2063.0,2063.0,2063.0,2063.0,2063.0,993.0,993.0,993.0,993.0,993.0,5079.0,5079.0,5079.0,5079.0,5079.0,5079.0,5079.0,5079.0,5079.0,5079.0,5079.0,1899.0,1899.0,1899.0,1899.0,1899.0,1899.0,7779.0,7779.0,7779.0,7779.0,7779.0,7779.0,7779.0,7779.0,7779.0,7779.0,7189.0,7189.0,7189.0,7189.0,7189.0,5285.0,,739.0,739.0,739.0,2159.0,2159.0,2159.0,375.0,3627.0,3437.0,,,1171.0,1693.0,1577.0,2975.0,297.0,1153.0,247,273.0,1141.0,1885.0,529.0,235.0
921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,2485.0,2485.0,2485.0,2485.0,2485.0,2485.0,1133.0,1133.0,1133.0,1133.0,1133.0,5117.0,5117.0,5117.0,5117.0,5117.0,5117.0,5117.0,5117.0,5117.0,5117.0,5117.0,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7991.0,7381.0,7381.0,7381.0,7381.0,7381.0,5465.0,,743.0,743.0,743.0,2173.0,2173.0,2173.0,413.0,4181.0,3773.0,,,1407.0,1711.0,1845.0,3421.0,317.0,1275.0,251,275.0,1219.0,1967.0,587.0,369.0
945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,2979.0,2979.0,2979.0,2979.0,2979.0,2979.0,1135.0,1135.0,1135.0,1135.0,1135.0,5573.0,5573.0,5573.0,5573.0,5573.0,5573.0,5573.0,5573.0,5573.0,5573.0,5573.0,1951.0,1951.0,1951.0,1951.0,1951.0,1951.0,8981.0,8981.0,8981.0,8981.0,8981.0,8981.0,8981.0,8981.0,8981.0,8981.0,7651.0,7651.0,7651.0,7651.0,7651.0,5639.0,,761.0,761.0,761.0,2569.0,2569.0,2569.0,607.0,4201.0,,,,1655.0,1725.0,1929.0,3967.0,451.0,1279.0,265,279.0,1377.0,1977.0,651.0,395.0
985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,3065.0,3065.0,3065.0,3065.0,3065.0,3065.0,1167.0,1167.0,1167.0,1167.0,1167.0,5637.0,5637.0,5637.0,5637.0,5637.0,5637.0,5637.0,5637.0,5637.0,5637.0,5637.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,9413.0,9413.0,9413.0,9413.0,9413.0,9413.0,9413.0,9413.0,9413.0,9413.0,7953.0,7953.0,7953.0,7953.0,7953.0,6229.0,,1099.0,1099.0,1099.0,3289.0,3289.0,3289.0,623.0,4207.0,,,,2105.0,1969.0,1955.0,4101.0,457.0,1283.0,269,289.0,1531.0,2175.0,719.0,481.0
997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,3995.0,3995.0,3995.0,3995.0,3995.0,3995.0,1353.0,1353.0,1353.0,1353.0,1353.0,5693.0,5693.0,5693.0,5693.0,5693.0,5693.0,5693.0,5693.0,5693.0,5693.0,5693.0,2465.0,2465.0,2465.0,2465.0,2465.0,2465.0,10225.0,10225.0,10225.0,10225.0,10225.0,10225.0,10225.0,10225.0,10225.0,10225.0,8501.0,8501.0,8501.0,8501.0,8501.0,6575.0,,1129.0,1129.0,1129.0,3855.0,3855.0,3855.0,741.0,4655.0,,,,2333.0,1989.0,2475.0,4155.0,469.0,1289.0,271,295.0,1637.0,2395.0,805.0,491.0
1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,4141.0,4141.0,4141.0,4141.0,4141.0,4141.0,1359.0,1359.0,1359.0,1359.0,1359.0,5927.0,5927.0,5927.0,5927.0,5927.0,5927.0,5927.0,5927.0,5927.0,5927.0,5927.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,10301.0,10301.0,10301.0,10301.0,10301.0,10301.0,10301.0,10301.0,10301.0,10301.0,9013.0,9013.0,9013.0,9013.0,9013.0,7021.0,,1269.0,1269.0,1269.0,7085.0,7085.0,7085.0,803.0,5409.0,,,,2775.0,2461.0,2917.0,4701.0,489.0,1329.0,303,311.0,1757.0,2897.0,839.0,499.0
1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0,4165.0,4165.0,4165.0,4165.0,4165.0,4165.0,1417.0,1417.0,1417.0,1417.0,1417.0,6537.0,6537.0,6537.0,6537.0,6537.0,6537.0,6537.0,6537.0,6537.0,6537.0,6537.0,3625.0,3625.0,3625.0,3625.0,3625.0,3625.0,10803.0,10803.0,10803.0,10803.0,10803.0,10803.0,10803.0,10803.0,10803.0,10803.0,9897.0,9897.0,9897.0,9897.0,9897.0,7191.0,,1507.0,1507.0,1507.0,7535.0,7535.0,7535.0,833.0,5441.0,,,,2851.0,2527.0,3219.0,4739.0,527.0,1339.0,323,367.0,1791.0,3117.0,995.0,501.0
1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,1089.0,4231.0,4231.0,4231.0,4231.0,4231.0,4231.0,1567.0,1567.0,1567.0,1567.0,1567.0,6613.0,6613.0,6613.0,6613.0,6613.0,6613.0,6613.0,6613.0,6613.0,6613.0,6613.0,3629.0,3629.0,3629.0,3629.0,3629.0,3629.0,,2981.0,2981.0,167.0,167.0,31.0,1481.0,1481.0,1481.0,1481.0,10041.0,10041.0,10041.0,10041.0,10041.0,7799.0,,1523.0,1523.0,1523.0,8239.0,8239.0,8239.0,845.0,5641.0,,,,3735.0,2899.0,3727.0,4857.0,597.0,1363.0,331,377.0,1839.0,3485.0,1019.0,503.0
1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,1121.0,4597.0,4597.0,4597.0,4597.0,4597.0,4597.0,1605.0,1605.0,1605.0,1605.0,1605.0,6739.0,6739.0,6739.0,6739.0,6739.0,6739.0,6739.0,6739.0,6739.0,6739.0,6739.0,3681.0,3681.0,3681.0,3681.0,3681.0,3681.0,,3003.0,3003.0,709.0,709.0,1085.0,2643.0,2643.0,2643.0,2643.0,10183.0,10183.0,10183.0,10183.0,10183.0,8341.0,,1599.0,1599.0,1599.0,8649.0,8649.0,8649.0,903.0,5929.0,,,,3743.0,3075.0,3827.0,5067.0,673.0,1367.0,339,381.0,1949.0,3579.0,1087.0,545.0
1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,4687.0,4687.0,4687.0,4687.0,4687.0,4687.0,2047.0,2047.0,2047.0,2047.0,2047.0,7015.0,7015.0,7015.0,7015.0,7015.0,7015.0,7015.0,7015.0,7015.0,7015.0,7015.0,3973.0,3973.0,3973.0,3973.0,3973.0,3973.0,,3329.0,3329.0,713.0,713.0,1393.0,3303.0,3303.0,3303.0,3303.0,10237.0,10237.0,10237.0,10237.0,10237.0,8841.0,,1741.0,1741.0,1741.0,9749.0,9749.0,9749.0,1227.0,6679.0,,,,3909.0,3641.0,4041.0,5269.0,689.0,1369.0,373,409.0,1971.0,3685.0,1093.0,553.0
1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,4891.0,4891.0,4891.0,4891.0,4891.0,4891.0,2409.0,2409.0,2409.0,2409.0,2409.0,7301.0,7301.0,7301.0,7301.0,7301.0,7301.0,7301.0,7301.0,7301.0,7301.0,7301.0,3985.0,3985.0,3985.0,3985.0,3985.0,3985.0,,3573.0,3573.0,923.0,923.0,2069.0,4633.0,4633.0,4633.0,4633.0,10709.0,10709.0,10709.0,10709.0,10709.0,9015.0,,2151.0,2151.0,2151.0,10079.0,10079.0,10079.0,1539.0,6901.0,,,,4031.0,3643.0,4195.0,5939.0,747.0,1441.0,379,419.0,1975.0,3769.0,1223.0,573.0
1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,4961.0,4961.0,4961.0,4961.0,4961.0,4961.0,2469.0,2469.0,2469.0,2469.0,2469.0,7561.0,7561.0,7561.0,7561.0,7561.0,7561.0,7561.0,7561.0,7561.0,7561.0,7561.0,4203.0,4203.0,4203.0,4203.0,4203.0,4203.0,,3679.0,3679.0,1215.0,1215.0,2407.0,6409.0,6409.0,6409.0,6409.0,,811.0,811.0,811.0,811.0,9225.0,,2179.0,2179.0,2179.0,10587.0,10587.0,10587.0,1587.0,6917.0,,,,4275.0,4191.0,4801.0,6151.0,867.0,1517.0,403,423.0,2009.0,3777.0,1237.0,603.0
1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,1299.0,5415.0,5415.0,5415.0,5415.0,5415.0,5415.0,2547.0,2547.0,2547.0,2547.0,2547.0,8143.0,8143.0,8143.0,8143.0,8143.0,8143.0,8143.0,8143.0,8143.0,8143.0,8143.0,4225.0,4225.0,4225.0,4225.0,4225.0,4225.0,,3869.0,3869.0,1347.0,1347.0,2883.0,6577.0,6577.0,6577.0,6577.0,,1661.0,1661.0,1661.0,1661.0,9525.0,,2493.0,2493.0,2493.0,10735.0,10735.0,10735.0,1771.0,7257.0,,,,4765.0,4435.0,5567.0,6691.0,953.0,1669.0,411,445.0,2081.0,4351.0,1327.0,655.0
1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,5463.0,5463.0,5463.0,5463.0,5463.0,5463.0,2563.0,2563.0,2563.0,2563.0,2563.0,8211.0,8211.0,8211.0,8211.0,8211.0,8211.0,8211.0,8211.0,8211.0,8211.0,8211.0,4313.0,4313.0,4313.0,4313.0,4313.0,4313.0,,4131.0,4131.0,1645.0,1645.0,3511.0,9025.0,9025.0,9025.0,9025.0,,2085.0,2085.0,2085.0,2085.0,9633.0,,3033.0,3033.0,3033.0,,59.0,227.0,1889.0,7347.0,,,,5437.0,4453.0,6973.0,7069.0,1005.0,1677.0,427,455.0,2087.0,4391.0,1349.0,679.0
1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,5769.0,5769.0,5769.0,5769.0,5769.0,5769.0,2567.0,2567.0,2567.0,2567.0,2567.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,4361.0,4361.0,4361.0,4361.0,4361.0,4361.0,,4327.0,4327.0,1787.0,1787.0,4411.0,,579.0,141.0,141.0,,2677.0,2677.0,2677.0,2677.0,9785.0,,3365.0,3365.0,3365.0,,963.0,241.0,1913.0,7681.0,,,,5559.0,5195.0,7343.0,7285.0,1095.0,1697.0,437,493.0,2319.0,4711.0,1401.0,683.0
1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,5969.0,5969.0,5969.0,5969.0,5969.0,5969.0,2577.0,2577.0,2577.0,2577.0,2577.0,8553.0,8553.0,8553.0,8553.0,8553.0,8553.0,8553.0,8553.0,8553.0,8553.0,8553.0,4377.0,4377.0,4377.0,4377.0,4377.0,4377.0,,4363.0,4363.0,2071.0,2071.0,4507.0,,1037.0,807.0,807.0,,2841.0,2841.0,2841.0,2841.0,9787.0,,3675.0,3675.0,3675.0,,1277.0,307.0,1995.0,7981.0,,,,5919.0,6145.0,7407.0,7399.0,1097.0,1699.0,441,511.0,2421.0,4871.0,1431.0,753.0
1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,1493.0,6111.0,6111.0,6111.0,6111.0,6111.0,6111.0,2881.0,2881.0,2881.0,2881.0,2881.0,8901.0,8901.0,8901.0,8901.0,8901.0,8901.0,8901.0,8901.0,8901.0,8901.0,8901.0,4547.0,4547.0,4547.0,4547.0,4547.0,4547.0,,5071.0,5071.0,2139.0,2139.0,4545.0,,2101.0,1611.0,1611.0,,4489.0,4489.0,4489.0,4489.0,9913.0,,4043.0,4043.0,4043.0,,1375.0,325.0,2029.0,9219.0,,,,6503.0,7287.0,8367.0,7509.0,1145.0,1751.0,461,549.0,2491.0,5159.0,1475.0,771.0
1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,1515.0,6397.0,6397.0,6397.0,6397.0,6397.0,6397.0,2907.0,2907.0,2907.0,2907.0,2907.0,9421.0,9421.0,9421.0,9421.0,9421.0,9421.0,9421.0,9421.0,9421.0,9421.0,9421.0,4667.0,4667.0,4667.0,4667.0,4667.0,4667.0,,5283.0,5283.0,2497.0,2497.0,5201.0,,2801.0,1999.0,1999.0,,5129.0,5129.0,5129.0,5129.0,10185.0,,4389.0,4389.0,4389.0,,2117.0,393.0,2121.0,9779.0,,,,6529.0,7329.0,8549.0,7943.0,1157.0,1803.0,521,575.0,2529.0,5529.0,1527.0,801.0
1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,1525.0,6451.0,6451.0,6451.0,6451.0,6451.0,6451.0,2909.0,2909.0,2909.0,2909.0,2909.0,9565.0,9565.0,9565.0,9565.0,9565.0,9565.0,9565.0,9565.0,9565.0,9565.0,9565.0,4677.0,4677.0,4677.0,4677.0,4677.0,4677.0,,6117.0,6117.0,2499.0,2499.0,5327.0,,3175.0,2517.0,2517.0,,5211.0,5211.0,5211.0,5211.0,10725.0,,4407.0,4407.0,4407.0,,2327.0,459.0,2325.0,9983.0,,,,6911.0,8471.0,9157.0,7947.0,1197.0,1891.0,531,583.0,2795.0,5535.0,1657.0,825.0
1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,1575.0,6875.0,6875.0,6875.0,6875.0,6875.0,6875.0,3015.0,3015.0,3015.0,3015.0,3015.0,9591.0,9591.0,9591.0,9591.0,9591.0,9591.0,9591.0,9591.0,9591.0,9591.0,9591.0,5155.0,5155.0,5155.0,5155.0,5155.0,5155.0,,6681.0,6681.0,2669.0,2669.0,5367.0,,3223.0,2685.0,2685.0,,5275.0,5275.0,5275.0,5275.0,,,5127.0,5127.0,5127.0,,2443.0,725.0,2393.0,9997.0,,,,6919.0,8959.0,9631.0,8243.0,1203.0,1945.0,535,585.0,2817.0,5633.0,1723.0,853.0
1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,7133.0,7133.0,7133.0,7133.0,7133.0,7133.0,3167.0,3167.0,3167.0,3167.0,3167.0,9613.0,9613.0,9613.0,9613.0,9613.0,9613.0,9613.0,9613.0,9613.0,9613.0,9613.0,5169.0,5169.0,5169.0,5169.0,5169.0,5169.0,,7649.0,7649.0,2773.0,2773.0,5899.0,,3451.0,2849.0,2849.0,,5431.0,5431.0,5431.0,5431.0,,,5455.0,5455.0,5455.0,,2623.0,891.0,2663.0,10205.0,,,,7337.0,9053.0,,10307.0,1245.0,1957.0,547,621.0,3135.0,5697.0,1735.0,869.0
1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,7395.0,7395.0,7395.0,7395.0,7395.0,7395.0,3319.0,3319.0,3319.0,3319.0,3319.0,9675.0,9675.0,9675.0,9675.0,9675.0,9675.0,9675.0,9675.0,9675.0,9675.0,9675.0,5171.0,5171.0,5171.0,5171.0,5171.0,5171.0,,8085.0,8085.0,3291.0,3291.0,5987.0,,4887.0,3471.0,3471.0,,5973.0,5973.0,5973.0,5973.0,,,5715.0,5715.0,5715.0,,2821.0,1007.0,2693.0,10503.0,,,,8325.0,9071.0,,10783.0,1265.0,1959.0,551,653.0,3213.0,5817.0,1857.0,873.0
1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,1653.0,7575.0,7575.0,7575.0,7575.0,7575.0,7575.0,3467.0,3467.0,3467.0,3467.0,3467.0,9791.0,9791.0,9791.0,9791.0,9791.0,9791.0,9791.0,9791.0,9791.0,9791.0,9791.0,5417.0,5417.0,5417.0,5417.0,5417.0,5417.0,,9177.0,9177.0,3619.0,3619.0,6393.0,,5335.0,4353.0,4353.0,,6143.0,6143.0,6143.0,6143.0,,,6061.0,6061.0,6061.0,,3001.0,1267.0,2807.0,10975.0,,,,8343.0,9181.0,,,1295.0,2077.0,559,657.0,3419.0,6311.0,2005.0,887.0
1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,3491.0,3491.0,3491.0,3491.0,3491.0,10049.0,10049.0,10049.0,10049.0,10049.0,10049.0,10049.0,10049.0,10049.0,10049.0,10049.0,5445.0,5445.0,5445.0,5445.0,5445.0,5445.0,,9843.0,9843.0,4107.0,4107.0,7057.0,,7817.0,4439.0,4439.0,,6937.0,6937.0,6937.0,6937.0,,,6221.0,6221.0,6221.0,,3231.0,1403.0,2911.0,,,,,8439.0,9349.0,,,1355.0,2473.0,561,671.0,3495.0,6331.0,2013.0,897.0
1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,8249.0,8249.0,8249.0,8249.0,8249.0,8249.0,3725.0,3725.0,3725.0,3725.0,3725.0,10263.0,10263.0,10263.0,10263.0,10263.0,10263.0,10263.0,10263.0,10263.0,10263.0,10263.0,5631.0,5631.0,5631.0,5631.0,5631.0,5631.0,,9977.0,9977.0,4513.0,4513.0,7701.0,,8115.0,4447.0,4447.0,,7295.0,7295.0,7295.0,7295.0,,,6283.0,6283.0,6283.0,,3235.0,1419.0,2977.0,,,,,8623.0,9677.0,,,1365.0,2503.0,601,699.0,3551.0,6337.0,2111.0,901.0
