Sample_id,MixInfect,bayesian,Demixer,0,avg,long_bar,mean,,,,,,,,,,
ERR181853,Non-Mix,Non-mix,Non-Mix,medium,0.08,293,0.087304961,4.4.1.1,,,,,1,,,,
ERR181855,Non-Mix,Non-mix,Mix,high,0.05,456,0.063371782,3.1.1,4.3.4.2.1,_,,,0.03,0.92,0.05,,
ERR181856,Non-Mix,Non-mix,Non-Mix,low,0.1,384,0.076921053,3.1.1,,,,,1,,,,
ERR181858,Non-Mix,Non-mix,Non-Mix,medium,0.1,333,0.081310608,4.3.4.2.1,,,,,1,,,,
ERR181859,Non-Mix,Non-mix,Non-Mix,low,0.11,414,0.071984386,4.1.2,,,,,1,,,,
ERR181860,Non-Mix,Non-mix,Non-Mix,medium,0.11,268,0.104680967,1.2.2,,,,,1,,,,
ERR181861,Non-Mix,Non-mix,Non-Mix,medium,0.09,282,0.081787412,4.3.4.2.1,,,,,1,,,,
ERR181862,Non-Mix,Non-mix,Non-Mix,medium,0.09,337,0.08445168,1.1.3.2,,,,,1,,,,
ERR181863,Non-Mix,Non-mix,Non-Mix,low,0.1,377,0.069569056,3.1.1,,,,,1,,,,
ERR181865,Non-Mix,Non-mix,Non-Mix,high,0.12,170,0.089051033,4.3.4.2.1,,,,,1,,,,
ERR181866,Mix,Mix,Non-Mix,high,0.12,205,0.118715305,2.2.1,,,,,1,,,,
ERR181867,Non-mix,Non-mix,Non-Mix,high,0.12,207,0.1128965,4.3.4.2.1,,,,,1,,,,
ERR181869,Non-Mix,Non-mix,Non-Mix,high,0.1,216,0.110456062,4.3.4.2.1,,,,,1,,,,
ERR181870,Mix,Mix,Non-Mix,medium,0.12,266,0.094500958,2.2.1,,,,,1,,,,
ERR181871,Non-Mix,Non-mix,Non-Mix,high,0.12,185,0.111275862,4.3.4.1,,,,,1,,,,
ERR181872,Non-Mix,Non-mix,Non-Mix,medium,0.11,255,0.088028169,4.3.4.2.1,,,,,1,,,,
ERR181873,Non-Mix,Non-mix,Non-Mix,high,0.13,216,0.110145889,4.3.4.2.1,,,,,1,,,,
ERR181874,Non-Mix,Non-mix,Non-Mix,high,0.12,192,0.118967079,4.3.4.2.1,,,,,1,,,,
ERR181876,Mix,Mix,Non-Mix,high,0.12,204,0.108695652,4.3.4.2.1,,,,,1,,,,
ERR181877,Non-mix,Non-mix,Non-Mix,high,0.12,179,0.098995832,4.3.4.2.1,,,,,1,,,,
ERR181878,Mix,Mix,Non-Mix,high,0.17,126,0.13852459,4.3.4.2.1,,,,,1,,,,
ERR181879,Non-Mix,Non-mix,Non-Mix,medium,0.09,227,0.108695652,4.3.4.1,,,,,1,,,,
ERR181880,Mix,Mix,Mix,low,0.12,217,0.109454645,2.2.1,4.3.4.2.1,,,,0.01,0.99,,,
ERR181881,Mix,Mix,Mix,high,0.12,562,0.092934861,3.1.1,4.3.4.2.1,,,,0.12,0.88,,,
ERR181882,Non-Mix,Non-mix,Non-Mix,high,0.12,194,0.092281879,4.1.2,,,,,1,,,,
ERR181883,Non-Mix,Non-mix,Non-Mix,high,0.11,214,0.107004331,3.1.1,,,,,1,,,,
ERR181884,Non-Mix,Non-mix,Non-Mix,high,0.13,140,0.133690068,4.3.4.2.1,,,,,1,,,,
ERR181885,Non-Mix,Non-mix,Non-Mix,high,0.13,132,0.124694784,4.3.4.2.1,,,,,1,,,,
ERR181886,Non-Mix,Non-mix,Non-Mix,high,0.1,212,0.116666667,4.3.4.2.1,,,,,1,,,,
ERR181888,Non-Mix,Non-mix,Non-Mix,high,0.13,178,0.123629032,4.3.4.2.1,,,,,1,,,,
ERR181889,Non-Mix,Non-mix,Non-Mix,high,0.15,172,0.127242625,4.3.4.2.1,,,,,1,,,,
ERR181890,Non-Mix,Non-mix,Non-Mix,high,0.16,132,0.126056338,4,,,,,1,,,,
ERR181891,Non-Mix,Non-mix,Non-Mix,high,0.13,155,0.102770475,2.2.1,,,,,1,,,,
ERR181892,Non-Mix,Non-mix,Non-Mix,high,0.13,154,0.104965878,3.1.1,,,,,1,,,,
ERR212181,Non-Mix,Non-mix,Non-Mix,medium,0.09,343,0.084942529,4.3.4.2.1,,,,,1,,,,
ERR216899,Mix,Mix,Mix,low,0.23,31,0.217460317,3.1.1,4.3,,,,0.98,0.02,,,
ERR216900,Non-Mix,Non-mix,Non-Mix,high,0.12,126,0.112224318,4.3.4.2.1,,,,,1,,,,
ERR216902,Non-Mix,Non-mix,Non-Mix,high,0.15,80,0.14137931,1.1.3.2,,,,,1,,,,
ERR216903,Non-Mix,Non-mix,Non-Mix,high,0.12,114,0.113259669,1.1.3.2,,,,,1,,,,
ERR216904,Non-Mix,Non-mix,Non-Mix,high,0.25,14,0.269607843,1.1.3.2,,,,,1,,,,
ERR216905,Non-Mix,Non-mix,Non-Mix,high,0.21,45,0.206846951,4.3.4.1,,,,,1,,,,
ERR216906,Non-Mix,Non-mix,Non-Mix,high,0.32,23,0.111691023,3,,,,,1,,,,
ERR216907,Non-Mix,Non-mix,Non-Mix,high,0.07,217,0.053330143,4.3.4.2.1,,,,,1,,,,
ERR216908,Non-Mix,Non-mix,Non-Mix,high,0.12,174,0.101012044,4.3.2.1,,,,,1,,,,
ERR216909,Non-Mix,Non-mix,Non-Mix,high,0.09,186,0.055466334,4.3.4.2.1,,,,,1,,,,
ERR216910,Non-Mix,Non-mix,Non-Mix,high,0.24,25,0.219148936,4.3.4.2.1,,,,,1,,,,
ERR216911,Non-Mix,Non-mix,Mix,medium,0.08,292,0.062481328,4.3.3,4.3.4.2.1,,,,0.98,0.02,,,
ERR216912,Non-Mix,Non-mix,Non-Mix,medium,0.06,270,0.066266453,4.1.2,,,,,1,,,,
ERR216913,Mix,Mix,Non-Mix,high,0.12,199,0.071279438,4.3.4.2.1,,,,,1,,,,
ERR216914,Mix,Mix,Mix,low,0.22,153,0.217760983,4.3.4.2.1,4.4.1.1,4.4.1.2,,,0.35,0.28,0.37,,
ERR216915,Non-Mix,Non-mix,Non-Mix,high,0.16,46,0.17,4.3.4.2.1,,,,,1,,,,
ERR216916,Non-Mix,Non-mix,Non-Mix,high,0.11,103,0.100368684,4.3.4.2.1,,,,,1,,,,
ERR216917,Mix,Mix,Non-Mix,high,0.12,158,0.10878553,1.1.3.2,,,,,1,,,,
ERR216918,Non-Mix,Non-mix,Non-Mix,high,0.18,32,0.191916168,4.3.4.2.1,,,,,1,,,,
ERR216919,Non-Mix,Non-mix,Non-Mix,high,0.21,37,0.144278075,4.6.1.2,,,,,1,,,,
ERR216920,Non-Mix,Non-mix,Non-Mix,high,0.1,183,0.060443482,4.3.4.2.1,,,,,1,,,,
ERR216921,Non-Mix,Non-mix,Non-Mix,high,0.1,191,0.078272251,4.3.4.2.1,,,,,1,,,,
ERR216922,Non-Mix,Non-mix,Non-Mix,high,0.24,36,0.171346783,4.3.4.2.1,,,,,1,,,,
ERR216923,Non-Mix,Non-mix,Non-Mix,high,0.12,146,0.112880061,4.8,,,,,1,,,,
ERR216924,Non-Mix,Non-mix,Non-Mix,medium,0.09,310,0.060706514,4.3.4.2.1,,,,,1,,,,
ERR216925,Non-Mix,Non-mix,Non-Mix,high,0.13,123,0.108879722,4.3.4.2.1,,,,,1,,,,
ERR216926,Non-Mix,Non-mix,Non-Mix,high,0.11,189,0.083128834,4.3.4.2.1,,,,,1,,,,
ERR216927,Non-Mix,Non-mix,Non-Mix,high,0.21,32,0.209036145,1.1.3.2,,,,,1,,,,
ERR216928,Non-Mix,Non-mix,Non-Mix,high,0.3,13,0.218010753,4.9.1,,,,,1,,,,
ERR216929,Non-Mix,Non-mix,Non-Mix,high,0.23,23,0.211221198,4.3.4.2.1,,,,,1,,,,
ERR216930,Non-Mix,Non-mix,Non-Mix,high,0.22,26,0.212104236,4.3.4.1,,,,,1,,,,
ERR216931,Non-Mix,Non-mix,Non-Mix,high,0.17,51,0.133245556,4.3.4.2.1,,,,,1,,,,
ERR216932,Mix,Mix,Non-Mix,high,0.48,17,0.434926471,4.1.2,,,,,1,,,,
ERR216933,Mix,Mix,Non-Mix,high,0.17,18,0.221719457,4.3.4.2.1,,,,,1,,,,
ERR216934,Non-Mix,Non-mix,Non-Mix,high,0.15,62,0.132352941,3.1.1,,,,,1,,,,
ERR216935,Non-Mix,Non-mix,Non-Mix,medium,0.06,279,0.059140616,4,,,,,1,,,,
ERR216936,Non-Mix,Non-mix,Non-Mix,high,0.07,198,0.075630009,4,,,,,1,,,,
ERR216937,Non-Mix,Non-mix,Non-Mix,high,0.23,28,0.169223206,3.1.1,,,,,1,,,,
ERR216940,Non-Mix,Non-mix,Non-Mix,high,0.11,141,0.081407563,1.1.3.2,,,,,1,,,,
ERR216941,Non-Mix,Non-mix,Non-Mix,high,0.26,25,0.230794045,4.3.4.2.1,,,,,1,,,,
ERR216942,Mix,Mix,Mix,low,0.12,128,0.120930633,4.3.3,4.3.4.2.1,_,,,0.02,0.94,0.04,,
ERR216943,Non-Mix,Non-mix,Non-Mix,high,0.09,195,0.088772294,4.3.3,,,,,1,,,,
ERR216944,Non-Mix,Non-mix,Non-Mix,high,0.18,34,0.172534722,4.3.3,,,,,1,,,,
ERR216945,Non-Mix,Non-mix,Non-Mix,high,0.15,56,0.132212885,4.8,,,,,1,,,,
ERR216946,Non-Mix,Non-mix,Non-Mix,high,0.18,50,0.152881442,4.3.4.2.1,,,,,1,,,,
ERR216947,Non-Mix,Non-mix,Non-Mix,high,0.23,14,0.229332517,4.3.4.2.1,,,,,1,,,,
ERR216952,Mix,Mix,Non-Mix,high,0.29,35,0.210778443,1.1.3.2,,,,,1,,,,
ERR216954,Non-Mix,Non-mix,Non-Mix,high,0.23,30,0.197572816,4.1.1.3,,,,,1,,,,
ERR216955,Non-Mix,Non-mix,Non-Mix,high,0.13,17,0.115356585,4.3.4.2.1,,,,,1,,,,
ERR216956,Mix,Mix,Non-Mix,high,0.26,12,0.259459459,2.2.1,,,,,1,,,,
ERR216957,Non-Mix,Non-mix,Non-Mix,high,0.21,12,0.132653061,4.3.4.2.1,,,,,1,,,,
ERR216958,Non-Mix,Non-mix,Non-Mix,high,0.15,78,0.105868144,2.2.1,,,,,1,,,,
ERR216961,Mix,Mix,Non-Mix,high,0.21,21,0.20308491,2.2.1,,,,,1,,,,
ERR216963,Non-Mix,Non-mix,Non-Mix,high,0.25,18,0.209549072,2.2.1,,,,,1,,,,
ERR216964,Non-Mix,Non-mix,Non-Mix,high,0.12,21,0.191703281,4.3.4.2.1,,,,,1,,,,
ERR216966,Mix,Mix,Non-Mix,high,0.18,22,0.205433715,2.2.1,,,,,1,,,,
ERR216967,Mix,Mix,Non-Mix,high,0.29,20,0.260238908,4.3.4.2.1,,,,,1,,,,
ERR216968,Non-Mix,Non-mix,Non-Mix,high,0.14,76,0.103465504,4.1.2,,,,,1,,,,
ERR216969,Non-Mix,Non-mix,Non-Mix,high,0.3,12,0.299418605,4.3.4.2.1,,,,,1,,,,
ERR216970,Non-Mix,Non-mix,Non-Mix,high,0.3,8,0.26,4.3.4.2.1,,,,,1,,,,
ERR216971,Mix,Mix,Mix,low,0.33,69,0.310144928,4.1.2,4.2.2.2,,,,0.67,0.33,,,
ERR216972,Non-Mix,Non-mix,Non-Mix,high,0.22,20,0.225714286,4.1.2,,,,,1,,,,
ERR216973,Non-Mix,Non-mix,Non-Mix,high,0.24,16,0.261372549,3.1.1,,,,,1,,,,
ERR216974,Mix,Mix,Non-Mix,high,0.27,16,0.20443459,4.9.1,,,,,1,,,,
ERR216976,Non-Mix,Non-mix,Non-Mix,high,0.35,15,0.409944751,1.1.2,,,,,1,,,,
ERR216977,Mix,Mix,Non-Mix,high,0.23,20,0.203432494,3,,,,,1,,,,
ERR216979,Non-Mix,Non-mix,Non-Mix,high,0.17,69,0.161931818,4.3.4.2.1,,,,,1,,,,
ERR216980,Non-Mix,Non-mix,Non-Mix,high,0.16,104,0.115930956,4.3.4.2.1,,,,,1,,,,
ERR216981,Non-Mix,Non-mix,Non-Mix,high,0.25,32,0.161118615,3.1.1,,,,,1,,,,
ERR216982,Non-Mix,Non-mix,Non-Mix,high,0.12,113,0.119152855,4.1.1.3,,,,,1,,,,
ERR216983,Mix,Mix,Non-Mix,high,0.29,21,0.258219941,1.2.2,,,,,1,,,,
ERR216984,Mix,Mix,Non-Mix,high,0.23,29,0.19556727,4.3.4.1,,,,,1,,,,
ERR216987,Non-Mix,Non-mix,Non-Mix,high,0.27,18,0.268511093,4.3.4.2.1,,,,,1,,,,
ERR216988,Non-Mix,Non-mix,Non-Mix,high,0.14,64,0.129865243,1.2.2,,,,,1,,,,
ERR216989,Mix,Mix,Non-Mix,high,0.21,14,0.348421908,4.3.4.2.1,,,,,1,,,,
ERR216990,Non-Mix,Non-mix,Non-Mix,high,0.17,22,0.170478796,4.3.4.2.1,,,,,1,,,,
ERR216991,Non-Mix,Non-mix,Non-Mix,high,0.21,14,0.225754109,4.3.4.2.1,,,,,1,,,,
ERR216992,Non-Mix,Non-mix,Non-Mix,high,0.08,31,0.109073724,4.3.4.2.1,,,,,1,,,,
ERR221524,Mix,Mix,Non-Mix,high,0.12,182,0.107270865,2.2.1,,,,,1,,,,
ERR221525,Non-Mix,Non-mix,Non-Mix,high,0.09,158,0.100740741,4.3.4.2.1,,,,,1,,,,
ERR221526,Non-Mix,Non-mix,Non-Mix,high,0.11,186,0.107413601,4.3.4.2.1,,,,,1,,,,
ERR221527,Non-Mix,Non-mix,Non-Mix,high,0.1,185,0.110206868,4.9.1,,,,,1,,,,
ERR221528,Non-Mix,Non-mix,Non-Mix,high,0.1,212,0.083996212,4.1.1.3,,,,,1,,,,
ERR221529,Non-Mix,Non-mix,Non-Mix,high,0.11,187,0.101483788,4.3.2.1,,,,,1,,,,
ERR221530,Non-Mix,Non-mix,Non-Mix,high,0.1,204,0.10215035,4.3.4.2.1,,,,,1,,,,
ERR221531,Non-Mix,Non-mix,Non-Mix,high,0.14,174,0.108636434,4.3.4.2.1,,,,,1,,,,
ERR221532,Non-Mix,Non-mix,Non-Mix,high,0.11,200,0.100511628,4.3.4.2.1,,,,,1,,,,
ERR221533,Non-Mix,Non-mix,Non-Mix,medium,0.09,229,0.09116898,4.1.1.3,,,,,1,,,,
ERR221534,Mix,Non-mix,Non-Mix,medium,0.09,276,0.087951496,4.1.1.3,,,,,1,,,,
ERR221536,Mix,Mix,Mix,high,0.09,451,0.099428571,2.2.1,4,,,,0.91,0.09,,,
ERR221537,Non-Mix,Non-mix,Non-Mix,medium,0.11,240,0.078638557,4.2.2.2,,,,,1,,,,
ERR221538,Mix,Mix,Mix,medium,0.1,326,0.087278107,2.2.1,3.1.1,,,,0.99,0.01,,,
ERR221539,Mix,Mix,Mix,high,0.12,580,0.0828125,2.2.1,3.1.1,4.3.4.2.1,_,,0.1,0.79,0.1,0.01,
ERR221540,Non-Mix,Non-mix,Non-Mix,medium,0.09,273,0.087990033,4.3.4.2.1,,,,,1,,,,
ERR221542,Non-Mix,Non-mix,Non-Mix,high,0.09,204,0.09798502,2.2.1,,,,,1,,,,
ERR221543,Non-mix,Non-mix,Non-Mix,high,0.12,161,0.099019608,4,,,,,1,,,,
ERR221544,Non-mix,Non-mix,Non-Mix,medium,0.08,291,0.078778709,2.2.1,,,,,1,,,,
ERR221545,Non-Mix,Non-mix,Non-Mix,medium,0.07,259,0.082972396,2.2.1,,,,,1,,,,
ERR221546,Non-Mix,Non-mix,Non-Mix,medium,0.08,260,0.080508475,4.3.4.2.1,,,,,1,,,,
ERR221547,Non-Mix,Non-mix,Non-Mix,high,0.08,214,0.085476423,4.9.1,,,,,1,,,,
ERR221548,Non-Mix,Non-mix,Non-Mix,high,0.09,200,0.088297872,4.3.4.2.1,,,,,1,,,,
ERR221549,Non-mix,Non-mix,Non-Mix,high,0.08,202,0.087074303,4.3.4.2.1,,,,,1,,,,
ERR221551,Non-mix,Non-mix,Non-Mix,medium,0.11,254,0.081190291,4.4.1.1,,,,,1,,,,
ERR221552,Non-mix,Non-mix,Non-Mix,medium,0.09,234,0.083192792,4.3.4.2.1,,,,,1,,,,
ERR221553,Non-Mix,Non-mix,Non-Mix,high,0.1,212,0.090204866,2.2.1,,,,,1,,,,
ERR221555,Non-Mix,Non-mix,Non-Mix,medium,0.1,223,0.0885,4.3.3,,,,,1,,,,
ERR221557,Non-Mix,Non-mix,Non-Mix,medium,0.09,273,0.081952663,1.2.2.1,,,,,1,,,,
ERR221559,Non-Mix,Non-mix,Non-Mix,medium,0.11,252,0.081034483,4.1.2,,,,,1,,,,
ERR221560,Non-Mix,Non-mix,Non-Mix,high,0.09,190,0.09408375,4.3.4.2.1,,,,,1,,,,
ERR221561,Mix,Mix,Mix,low,0.1,178,0.102427184,4.3.3,4.3.4.2.1,,,,0.73,0.27,,,
ERR221562,Non-Mix,Non-mix,Non-Mix,medium,0.11,236,0.091184789,1.1.3.2,,,,,1,,,,
ERR221563,Non-Mix,Non-mix,Non-Mix,high,0.1,208,0.093690981,1.1.3.2,,,,,1,,,,
ERR221564,Non-Mix,Non-mix,Non-Mix,high,0.11,200,0.098355615,4.3.4.2.1,,,,,1,,,,
ERR221565,Non-Mix,Non-mix,Non-Mix,high,0.1,197,0.099090909,4.3.4.2.1,,,,,1,,,,
ERR221566,Non-Mix,Non-mix,Non-Mix,high,0.09,181,0.090102335,4.3.4.1,,,,,1,,,,
ERR221567,Mix,Mix,Mix,medium,0.09,341,0.078219342,1.1.3.2,4.3.4.2.1,,,,0.99,0.01,,,
ERR221568,Non-mix,Non-mix,Non-Mix,medium,0.11,244,0.091774277,4.3.4.2.1,,,,,1,,,,
ERR221569,Non-Mix,Non-mix,Non-Mix,high,0.11,189,0.105227625,1.2.2.1,,,,,1,,,,
ERR221570,Non-Mix,Non-mix,Non-Mix,high,0.11,208,0.095558608,1.2.2,,,,,1,,,,
ERR221571,Non-Mix,Non-mix,Non-Mix,high,0.11,189,0.099541284,4.3.3,,,,,1,,,,
ERR221572,Non-Mix,Non-mix,Non-Mix,high,0.11,203,0.1020892,2.2.1,,,,,1,,,,
ERR221573,Non-Mix,Non-mix,Non-Mix,high,0.1,167,0.105670103,2.2,,,,,1,,,,
ERR221574,Non-mix,Non-mix,Non-Mix,high,0.1,165,0.086326549,2.2.1,,,,,1,,,,
ERR221576,Non-Mix,Non-mix,Non-Mix,high,0.09,207,0.093373494,3.1.1,,,,,1,,,,
ERR221578,Non-Mix,Non-mix,Non-Mix,high,0.12,192,0.098865609,1.2.2,,,,,1,,,,
ERR221579,Non-Mix,Non-mix,Non-Mix,high,0.1,174,0.095378151,4.6.1.1,,,,,1,,,,
ERR221581,Non-Mix,Non-mix,Non-Mix,high,0.11,179,0.102296651,4.3.4.2.1,,,,,1,,,,
ERR221582,Non-mix,Non-mix,Non-Mix,high,0.12,193,0.094397759,1.1.2,,,,,1,,,,
ERR221583,Non-mix,Non-mix,Non-Mix,high,0.15,118,0.134603175,4.1.2,,,,,1,,,,
ERR221584,Non-Mix,Non-mix,Non-Mix,high,0.09,181,0.097345133,2.2.1,,,,,1,,,,
ERR221585,Non-Mix,Non-mix,Non-Mix,high,0.12,162,0.088635108,4.3.4.2.1,,,,,1,,,,
ERR221586,Non-mix,Non-mix,Non-Mix,high,0.12,195,0.10293617,4.3.4.2.1,,,,,1,,,,
ERR221587,Non-Mix,Non-mix,Non-Mix,high,0.11,196,0.080337079,3.1.1,,,,,1,,,,
ERR221588,Non-Mix,Non-mix,Non-Mix,high,0.1,183,0.110837321,4.3.4.2.1,,,,,1,,,,
ERR221589,Non-Mix,Non-mix,Non-Mix,high,0.1,177,0.096727717,4.3.4.2.1,,,,,1,,,,
ERR221591,Non-Mix,Non-mix,Non-Mix,medium,0.08,234,0.076213592,3.1.1,,,,,1,,,,
ERR221592,Mix,Non-mix,Non-Mix,medium,0.11,271,0.081460235,4.1.2,,,,,1,,,,
ERR221593,Non-Mix,Non-mix,Non-Mix,medium,0.09,230,0.07773499,1.1.3.2,,,,,1,,,,
